FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC14
19,"CD101, Manhattan",103,210,313,7.4,6.1,6.5
29,"CD102, Manhattan",79,178,257,5.7,5.2,5.3
30,"CD103, Manhattan",56,108,164,4.0,3.1,3.4
21,"CD104, Manhattan",82,225,307,5.9,6.5,6.3
13,"CD105, Manhattan",270,553,823,19.4,16.0,17.0
31,"CD106, Manhattan",106,166,272,7.6,4.8,5.6
20,"CD107, Manhattan",35,99,134,2.5,2.9,2.8
42,"CD108, Manhattan",59,182,241,4.2,5.3,5.0
60,"CD109, Manhattan",21,17,38,1.5,0.5,0.8
70,"CD110, Manhattan",15,42,57,1.1,1.2,1.2
48,"CD111, Manhattan",11,51,62,0.8,1.5,1.3
71,"CD112, Manhattan",0,26,26,0.0,0.8,0.5
18,"CD164, Manhattan",1,0,1,0.1,0.0,0.0
41,"CD201, Bronx",10,30,40,0.7,0.9,0.8
44,"CD202, Bronx",3,13,16,0.2,0.4,0.3
53,"CD203, Bronx",7,24,31,0.5,0.7,0.6
32,"CD204, Bronx",4,43,47,0.3,1.2,1.0
62,"CD205, Bronx",9,14,23,0.6,0.4,0.5
63,"CD206, Bronx",13,35,48,0.9,1.0,1.0
36,"CD207, Bronx",5,32,37,0.4,0.9,0.8
24,"CD208, Bronx",3,21,24,0.2,0.6,0.5
45,"CD209, Bronx",1,3,4,0.1,0.1,0.1
59,"CD210, Bronx",1,5,6,0.1,0.1,0.1
50,"CD211, Bronx",4,12,16,0.3,0.3,0.3
58,"CD212, Bronx",6,7,13,0.4,0.2,0.3
33,"CD226, Bronx",0,0,0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,0,0.0,0.0,0.0
2,"CD301, Brooklyn",52,159,211,3.7,4.6,4.4
6,"CD302, Brooklyn",80,155,235,5.8,4.5,4.9
14,"CD303, Brooklyn",25,53,78,1.8,1.5,1.6
22,"CD304, Brooklyn",17,50,67,1.2,1.5,1.4
64,"CD305, Brooklyn",5,26,31,0.4,0.8,0.6
54,"CD306, Brooklyn",34,101,135,2.4,2.9,2.8
9,"CD307, Brooklyn",10,37,47,0.7,1.1,1.0
55,"CD308, Brooklyn",16,50,66,1.2,1.5,1.4
16,"CD309, Brooklyn",2,16,18,0.1,0.5,0.4
10,"CD310, Brooklyn",7,17,24,0.5,0.5,0.5
1,"CD311, Brooklyn",4,21,25,0.3,0.6,0.5
11,"CD312, Brooklyn",4,63,67,0.3,1.8,1.4
7,"CD313, Brooklyn",7,20,27,0.5,0.6,0.6
5,"CD314, Brooklyn",10,28,38,0.7,0.8,0.8
8,"CD315, Brooklyn",4,14,18,0.3,0.4,0.4
15,"CD316, Brooklyn",2,22,24,0.1,0.6,0.5
17,"CD317, Brooklyn",4,16,20,0.3,0.5,0.4
39,"CD318, Brooklyn",4,8,12,0.3,0.2,0.2
56,"CD355, Brooklyn",0,0,0,0.0,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0.0,0.0,0.0
43,"CD401, Queens",28,98,126,2.0,2.8,2.6
26,"CD402, Queens",18,102,120,1.3,3.0,2.5
68,"CD403, Queens",9,12,21,0.6,0.3,0.4
27,"CD404, Queens",8,28,36,0.6,0.8,0.7
28,"CD405, Queens",8,11,19,0.6,0.3,0.4
37,"CD406, Queens",5,8,13,0.4,0.2,0.3
49,"CD407, Queens",19,63,82,1.4,1.8,1.7
46,"CD408, Queens",6,2,8,0.4,0.1,0.2
65,"CD409, Queens",5,0,5,0.4,0.0,0.1
61,"CD410, Queens",5,8,13,0.4,0.2,0.3
47,"CD411, Queens",6,15,21,0.4,0.4,0.4
3,"CD412, Queens",20,55,75,1.4,1.6,1.5
66,"CD413, Queens",14,17,31,1.0,0.5,0.6
57,"CD414, Queens",11,23,34,0.8,0.7,0.7
69,"CD480, Queens",0,0,0,0.0,0.0,0.0
4,"CD481, Queens",1,3,4,0.1,0.1,0.1
38,"CD482, Queens",0,0,0,0.0,0.0,0.0
67,"CD483, Queens",0,0,0,0.0,0.0,0.0
23,"CD484, Queens",0,0,0,0.0,0.0,0.0
25,"CD501, Staten Island",15,25,40,1.1,0.7,0.8
34,"CD502, Staten Island",15,15,30,1.1,0.4,0.6
35,"CD503, Staten Island",7,11,18,0.5,0.3,0.4
12,"CD595, Staten Island",0,0,0,0.0,0.0,0.0
