FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC14
19,"CD101, Manhattan",2,101,103,0.5,11.6,8.3
29,"CD102, Manhattan",3,68,71,0.8,7.8,5.7
30,"CD103, Manhattan",4,21,25,1.1,2.4,2.0
21,"CD104, Manhattan",4,56,60,1.1,6.4,4.8
13,"CD105, Manhattan",1,129,130,0.3,14.8,10.5
31,"CD106, Manhattan",1,50,51,0.3,5.7,4.1
20,"CD107, Manhattan",6,47,53,1.6,5.4,4.3
42,"CD108, Manhattan",6,44,50,1.6,5.0,4.0
60,"CD109, Manhattan",0,3,3,0.0,0.3,0.2
70,"CD110, Manhattan",1,14,15,0.3,1.6,1.2
48,"CD111, Manhattan",5,15,20,1.4,1.7,1.6
71,"CD112, Manhattan",0,5,5,0.0,0.6,0.4
18,"CD164, Manhattan",0,0,0,0.0,0.0,0.0
41,"CD201, Bronx",2,6,8,0.5,0.7,0.6
44,"CD202, Bronx",3,5,8,0.8,0.6,0.6
53,"CD203, Bronx",4,5,9,1.1,0.6,0.7
32,"CD204, Bronx",0,6,6,0.0,0.7,0.5
62,"CD205, Bronx",1,3,4,0.3,0.3,0.3
63,"CD206, Bronx",0,9,9,0.0,1.0,0.7
36,"CD207, Bronx",0,6,6,0.0,0.7,0.5
24,"CD208, Bronx",3,6,9,0.8,0.7,0.7
45,"CD209, Bronx",3,5,8,0.8,0.6,0.6
59,"CD210, Bronx",2,11,13,0.5,1.3,1.0
50,"CD211, Bronx",3,4,7,0.8,0.5,0.6
58,"CD212, Bronx",7,6,13,1.9,0.7,1.0
33,"CD226, Bronx",0,0,0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,0,0.0,0.0,0.0
2,"CD301, Brooklyn",16,23,39,4.4,2.6,3.1
6,"CD302, Brooklyn",12,30,42,3.3,3.4,3.4
14,"CD303, Brooklyn",10,11,21,2.7,1.3,1.7
22,"CD304, Brooklyn",10,10,20,2.7,1.1,1.6
64,"CD305, Brooklyn",10,5,15,2.7,0.6,1.2
54,"CD306, Brooklyn",4,8,12,1.1,0.9,1.0
9,"CD307, Brooklyn",3,3,6,0.8,0.3,0.5
55,"CD308, Brooklyn",3,8,11,0.8,0.9,0.9
16,"CD309, Brooklyn",3,1,4,0.8,0.1,0.3
10,"CD310, Brooklyn",3,8,11,0.8,0.9,0.9
1,"CD311, Brooklyn",6,4,10,1.6,0.5,0.8
11,"CD312, Brooklyn",6,3,9,1.6,0.3,0.7
7,"CD313, Brooklyn",4,3,7,1.1,0.3,0.6
5,"CD314, Brooklyn",3,2,5,0.8,0.2,0.4
8,"CD315, Brooklyn",5,2,7,1.4,0.2,0.6
15,"CD316, Brooklyn",2,3,5,0.5,0.3,0.4
17,"CD317, Brooklyn",1,2,3,0.3,0.2,0.2
39,"CD318, Brooklyn",3,4,7,0.8,0.5,0.6
56,"CD355, Brooklyn",0,4,4,0.0,0.5,0.3
40,"CD356, Brooklyn",0,0,0,0.0,0.0,0.0
43,"CD401, Queens",13,10,23,3.5,1.1,1.9
26,"CD402, Queens",5,21,26,1.4,2.4,2.1
68,"CD403, Queens",2,5,7,0.5,0.6,0.6
27,"CD404, Queens",16,4,20,4.4,0.5,1.6
28,"CD405, Queens",5,6,11,1.4,0.7,0.9
37,"CD406, Queens",4,4,8,1.1,0.5,0.6
49,"CD407, Queens",17,21,38,4.6,2.4,3.1
46,"CD408, Queens",6,1,7,1.6,0.1,0.6
65,"CD409, Queens",6,6,12,1.6,0.7,1.0
61,"CD410, Queens",6,0,6,1.6,0.0,0.5
47,"CD411, Queens",13,4,17,3.5,0.5,1.4
3,"CD412, Queens",5,6,11,1.4,0.7,0.9
66,"CD413, Queens",9,4,13,2.5,0.5,1.0
57,"CD414, Queens",23,2,25,6.3,0.2,2.0
69,"CD480, Queens",0,0,0,0.0,0.0,0.0
4,"CD481, Queens",0,0,0,0.0,0.0,0.0
38,"CD482, Queens",0,0,0,0.0,0.0,0.0
67,"CD483, Queens",0,0,0,0.0,0.0,0.0
23,"CD484, Queens",0,0,0,0.0,0.0,0.0
25,"CD501, Staten Island",8,7,15,2.2,0.8,1.2
34,"CD502, Staten Island",29,9,38,7.9,1.0,3.1
35,"CD503, Staten Island",35,4,39,9.5,0.5,3.1
12,"CD595, Staten Island",0,0,0,0.0,0.0,0.0
