FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC13,HC01_MOE_VC14,HC01_MOE_VC15,HC01_MOE_VC16,HC01_MOE_VC17,HC01_MOE_VC18
19,"CD101, Manhattan",13,47,79,49,10,24,23,12,10,23,290.0,4.5,16.2,27.2,16.9,3.4,8.3,7.9,4.1,3.4,7.9,
29,"CD102, Manhattan",17,163,240,152,95,28,46,15,43,123,922.0,1.8,17.7,26.0,16.5,10.3,3.0,5.0,1.6,4.7,13.3,
30,"CD103, Manhattan",77,82,232,120,243,43,57,23,54,107,1038.0,7.4,7.9,22.4,11.6,23.4,4.1,5.5,2.2,5.2,10.3,
21,"CD104, Manhattan",30,99,262,101,153,45,54,14,46,125,929.0,3.2,10.7,28.2,10.9,16.5,4.8,5.8,1.5,5.0,13.5,
13,"CD105, Manhattan",26,65,120,82,82,29,44,5,20,34,507.0,5.1,12.8,23.7,16.2,16.2,5.7,8.7,1.0,3.9,6.7,
31,"CD106, Manhattan",53,90,117,58,140,40,25,3,38,57,621.0,8.5,14.5,18.8,9.3,22.5,6.4,4.0,0.5,6.1,9.2,
20,"CD107, Manhattan",45,152,272,73,17,54,59,31,62,164,929.0,4.8,16.4,29.3,7.9,1.8,5.8,6.4,3.3,6.7,17.7,
42,"CD108, Manhattan",29,126,197,58,61,78,42,16,37,107,751.0,3.9,16.8,26.2,7.7,8.1,10.4,5.6,2.1,4.9,14.2,
60,"CD109, Manhattan",99,48,117,44,11,44,7,12,27,51,460.0,21.5,10.4,25.4,9.6,2.4,9.6,1.5,2.6,5.9,11.1,
70,"CD110, Manhattan",163,103,367,94,68,38,21,21,50,123,1048.0,15.6,9.8,35.0,9.0,6.5,3.6,2.0,2.0,4.8,11.7,
48,"CD111, Manhattan",140,40,213,54,24,34,15,16,22,63,621.0,22.5,6.4,34.3,8.7,3.9,5.5,2.4,2.6,3.5,10.1,
71,"CD112, Manhattan",199,62,194,57,43,55,17,13,19,92,751.0,26.5,8.3,25.8,7.6,5.7,7.3,2.3,1.7,2.5,12.3,
18,"CD164, Manhattan",1,,1,,,,,,,0,2.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,"CD201, Bronx",156,88,148,90,27,25,27,11,24,61,657.0,23.7,13.4,22.5,13.7,4.1,3.8,4.1,1.7,3.7,9.3,
44,"CD202, Bronx",159,29,64,40,61,22,17,9,8,28,437.0,36.4,6.6,14.6,9.2,14.0,5.0,3.9,2.1,1.8,6.4,
53,"CD203, Bronx",204,45,136,82,50,25,13,14,14,36,619.0,33.0,7.3,22.0,13.2,8.1,4.0,2.1,2.3,2.3,5.8,
32,"CD204, Bronx",328,67,185,71,35,37,25,13,19,57,837.0,39.2,8.0,22.1,8.5,4.2,4.4,3.0,1.6,2.3,6.8,
62,"CD205, Bronx",251,47,83,41,93,32,13,10,29,57,656.0,38.3,7.2,12.7,6.3,14.2,4.9,2.0,1.5,4.4,8.7,
63,"CD206, Bronx",290,97,104,92,52,17,11,17,17,47,744.0,39.0,13.0,14.0,12.4,7.0,2.3,1.5,2.3,2.3,6.3,
36,"CD207, Bronx",256,48,209,56,44,32,39,11,21,68,784.0,32.7,6.1,26.7,7.1,5.6,4.1,5.0,1.4,2.7,8.7,
24,"CD208, Bronx",173,130,266,42,10,54,11,23,17,33,759.0,22.8,17.1,35.0,5.5,1.3,7.1,1.4,3.0,2.2,4.3,
45,"CD209, Bronx",309,79,128,120,18,45,31,28,22,58,838.0,36.9,9.4,15.3,14.3,2.1,5.4,3.7,3.3,2.6,6.9,
59,"CD210, Bronx",292,146,140,81,22,66,23,34,29,39,872.0,33.5,16.7,16.1,9.3,2.5,7.6,2.6,3.9,3.3,4.5,
50,"CD211, Bronx",289,78,128,68,28,55,35,37,21,38,777.0,37.2,10.0,16.5,8.8,3.6,7.1,4.5,4.8,2.7,4.9,
58,"CD212, Bronx",637,210,255,263,33,88,35,84,64,90,1759.0,36.2,11.9,14.5,15.0,1.9,5.0,2.0,4.8,3.6,5.1,
33,"CD226, Bronx",1,,,6,,,,,1,0,8.0,12.5,0.0,0.0,75.0,0.0,0.0,0.0,0.0,12.5,0.0,
51,"CD227, Bronx",1,,,1,,,1,,,0,3.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,
52,"CD228, Bronx",,,,,,,,,,,,,,,,,,,,,,
2,"CD301, Brooklyn",247,570,423,198,809,173,73,66,93,198,2850.0,8.7,20.0,14.8,6.9,28.4,6.1,2.6,2.3,3.3,6.9,
6,"CD302, Brooklyn",89,280,225,109,86,117,28,35,57,181,1207.0,7.4,23.2,18.6,9.0,7.1,9.7,2.3,2.9,4.7,15.0,
14,"CD303, Brooklyn",386,375,393,237,488,70,54,50,86,213,2352.0,16.4,15.9,16.7,10.1,20.7,3.0,2.3,2.1,3.7,9.1,
22,"CD304, Brooklyn",245,103,556,107,512,85,46,29,46,156,1885.0,13.0,5.5,29.5,5.7,27.2,4.5,2.4,1.5,2.4,8.3,
64,"CD305, Brooklyn",786,231,299,254,538,102,51,51,34,521,2867.0,27.4,8.1,10.4,8.9,18.8,3.6,1.8,1.8,1.2,18.2,
54,"CD306, Brooklyn",103,356,170,95,125,133,50,30,53,169,1284.0,8.0,27.7,13.2,7.4,9.7,10.4,3.9,2.3,4.1,13.2,
9,"CD307, Brooklyn",96,198,153,140,365,87,59,39,35,107,1279.0,7.5,15.5,12.0,10.9,28.5,6.8,4.6,3.0,2.7,8.4,
55,"CD308, Brooklyn",234,200,257,79,146,109,13,39,43,129,1249.0,18.7,16.0,20.6,6.3,11.7,8.7,1.0,3.1,3.4,10.3,
16,"CD309, Brooklyn",427,110,154,78,104,64,13,18,14,68,1050.0,40.7,10.5,14.7,7.4,9.9,6.1,1.2,1.7,1.3,6.5,
10,"CD310, Brooklyn",135,197,137,136,145,94,47,47,39,96,1073.0,12.6,18.4,12.8,12.7,13.5,8.8,4.4,4.4,3.6,8.9,
1,"CD311, Brooklyn",228,348,203,175,293,91,51,63,39,97,1588.0,14.4,21.9,12.8,11.0,18.5,5.7,3.2,4.0,2.5,6.1,
11,"CD312, Brooklyn",334,815,286,151,153,124,69,116,29,124,2201.0,15.2,37.0,13.0,6.9,7.0,5.6,3.1,5.3,1.3,5.6,
7,"CD313, Brooklyn",135,105,93,52,91,31,14,20,13,47,601.0,22.5,17.5,15.5,8.7,15.1,5.2,2.3,3.3,2.2,7.8,
