FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC14
19,"CD101, Manhattan",306,175,481,3.5,3.5,3.5
29,"CD102, Manhattan",439,232,671,5.0,4.7,4.9
30,"CD103, Manhattan",245,105,350,2.8,2.1,2.6
21,"CD104, Manhattan",294,190,484,3.4,3.8,3.5
13,"CD105, Manhattan",951,413,1364,10.8,8.4,10.0
31,"CD106, Manhattan",373,144,517,4.3,2.9,3.8
20,"CD107, Manhattan",334,257,591,3.8,5.2,4.3
42,"CD108, Manhattan",467,315,782,5.3,6.4,5.7
60,"CD109, Manhattan",130,62,192,1.5,1.3,1.4
70,"CD110, Manhattan",100,67,167,1.1,1.4,1.2
48,"CD111, Manhattan",109,56,165,1.2,1.1,1.2
71,"CD112, Manhattan",157,60,217,1.8,1.2,1.6
18,"CD164, Manhattan",1,1,2,0.0,0.0,0.0
41,"CD201, Bronx",59,49,108,0.7,1.0,0.8
44,"CD202, Bronx",16,12,28,0.2,0.2,0.2
53,"CD203, Bronx",30,26,56,0.3,0.5,0.4
32,"CD204, Bronx",58,23,81,0.7,0.5,0.6
62,"CD205, Bronx",42,55,97,0.5,1.1,0.7
63,"CD206, Bronx",64,31,95,0.7,0.6,0.7
36,"CD207, Bronx",61,42,103,0.7,0.9,0.8
24,"CD208, Bronx",47,37,84,0.5,0.7,0.6
45,"CD209, Bronx",43,28,71,0.5,0.6,0.5
59,"CD210, Bronx",64,24,88,0.7,0.5,0.6
50,"CD211, Bronx",49,18,67,0.6,0.4,0.5
58,"CD212, Bronx",55,42,97,0.6,0.9,0.7
33,"CD226, Bronx",0,1,1,0.0,0.0,0.0
51,"CD227, Bronx",0,1,1,0.0,0.0,0.0
52,"CD228, Bronx",0,0,0,0.0,0.0,0.0
2,"CD301, Brooklyn",227,156,383,2.6,3.2,2.8
6,"CD302, Brooklyn",255,193,448,2.9,3.9,3.3
14,"CD303, Brooklyn",157,131,288,1.8,2.7,2.1
22,"CD304, Brooklyn",113,75,188,1.3,1.5,1.4
64,"CD305, Brooklyn",112,73,185,1.3,1.5,1.3
54,"CD306, Brooklyn",179,220,399,2.0,4.5,2.9
9,"CD307, Brooklyn",138,73,211,1.6,1.5,1.5
55,"CD308, Brooklyn",85,73,158,1.0,1.5,1.2
16,"CD309, Brooklyn",56,29,85,0.6,0.6,0.6
10,"CD310, Brooklyn",102,39,141,1.2,0.8,1.0
1,"CD311, Brooklyn",109,43,152,1.2,0.9,1.1
11,"CD312, Brooklyn",88,72,160,1.0,1.5,1.2
7,"CD313, Brooklyn",60,47,107,0.7,1.0,0.8
5,"CD314, Brooklyn",82,35,117,0.9,0.7,0.9
8,"CD315, Brooklyn",112,46,158,1.3,0.9,1.2
15,"CD316, Brooklyn",72,31,103,0.8,0.6,0.8
17,"CD317, Brooklyn",75,44,119,0.9,0.9,0.9
39,"CD318, Brooklyn",88,45,133,1.0,0.9,1.0
56,"CD355, Brooklyn",3,0,3,0.0,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0.0,0.0,0.0
43,"CD401, Queens",152,107,259,1.7,2.2,1.9
26,"CD402, Queens",146,124,270,1.7,2.5,2.0
68,"CD403, Queens",80,39,119,0.9,0.8,0.9
27,"CD404, Queens",75,50,125,0.9,1.0,0.9
28,"CD405, Queens",129,39,168,1.5,0.8,1.2
37,"CD406, Queens",73,41,114,0.8,0.8,0.8
49,"CD407, Queens",239,99,338,2.7,2.0,2.5
46,"CD408, Queens",99,50,149,1.1,1.0,1.1
65,"CD409, Queens",75,27,102,0.9,0.5,0.7
61,"CD410, Queens",96,36,132,1.1,0.7,1.0
47,"CD411, Queens",95,51,146,1.1,1.0,1.1
3,"CD412, Queens",173,70,243,2.0,1.4,1.8
66,"CD413, Queens",129,50,179,1.5,1.0,1.3
57,"CD414, Queens",183,80,263,2.1,1.6,1.9
69,"CD480, Queens",0,0,0,0.0,0.0,0.0
4,"CD481, Queens",2,1,3,0.0,0.0,0.0
38,"CD482, Queens",0,2,2,0.0,0.0,0.0
67,"CD483, Queens",0,0,0,0.0,0.0,0.0
23,"CD484, Queens",0,0,0,0.0,0.0,0.0
25,"CD501, Staten Island",133,52,185,1.5,1.1,1.3
34,"CD502, Staten Island",172,57,229,2.0,1.2,1.7
35,"CD503, Staten Island",107,75,182,1.2,1.5,1.3
12,"CD595, Staten Island",0,0,0,0.0,0.0,0.0
