FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",47,122,4136,226,20,4551,0.7,1.7,3.8,3.7,1.4,3.5
29,"CD102, Manhattan",61,230,4916,220,4,5431,0.9,3.2,4.5,3.6,0.3,4.1
30,"CD103, Manhattan",76,127,2931,144,12,3290,1.2,1.8,2.7,2.4,0.8,2.5
21,"CD104, Manhattan",108,127,4463,314,9,5021,1.7,1.8,4.1,5.2,0.6,3.8
13,"CD105, Manhattan",108,222,11950,602,17,12899,1.7,3.1,10.9,9.9,1.2,9.8
31,"CD106, Manhattan",24,75,4194,152,11,4456,0.4,1.1,3.8,2.5,0.8,3.4
20,"CD107, Manhattan",31,190,5221,245,2,5689,0.5,2.7,4.7,4.0,0.1,4.3
42,"CD108, Manhattan",66,160,6022,330,10,6588,1.0,2.3,5.5,5.4,0.7,5.0
60,"CD109, Manhattan",21,70,1514,104,3,1712,0.3,1.0,1.4,1.7,0.2,1.3
70,"CD110, Manhattan",53,105,1527,101,10,1796,0.8,1.5,1.4,1.7,0.7,1.4
48,"CD111, Manhattan",40,48,1417,77,26,1608,0.6,0.7,1.3,1.3,1.8,1.2
71,"CD112, Manhattan",9,55,1601,88,6,1759,0.1,0.8,1.5,1.5,0.4,1.3
18,"CD164, Manhattan",0,0,27,7,0,34,0.0,0.0,0.0,0.1,0.0,0.0
41,"CD201, Bronx",91,50,1188,99,19,1447,1.4,0.7,1.1,1.6,1.3,1.1
44,"CD202, Bronx",31,23,410,26,10,500,0.5,0.3,0.4,0.4,0.7,0.4
53,"CD203, Bronx",56,13,759,85,21,934,0.9,0.2,0.7,1.4,1.5,0.7
32,"CD204, Bronx",48,40,869,76,27,1060,0.7,0.6,0.8,1.3,1.9,0.8
62,"CD205, Bronx",56,31,879,54,13,1033,0.9,0.4,0.8,0.9,0.9,0.8
63,"CD206, Bronx",74,43,821,55,37,1030,1.1,0.6,0.7,0.9,2.6,0.8
36,"CD207, Bronx",66,27,765,67,43,968,1.0,0.4,0.7,1.1,3.0,0.7
24,"CD208, Bronx",63,35,684,58,6,846,1.0,0.5,0.6,1.0,0.4,0.6
45,"CD209, Bronx",68,44,1101,95,7,1315,1.0,0.6,1.0,1.6,0.5,1.0
59,"CD210, Bronx",38,45,641,31,8,763,0.6,0.6,0.6,0.5,0.6,0.6
50,"CD211, Bronx",40,47,671,41,7,806,0.6,0.7,0.6,0.7,0.5,0.6
58,"CD212, Bronx",103,58,915,46,33,1155,1.6,0.8,0.8,0.8,2.3,0.9
33,"CD226, Bronx",2,0,5,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,3,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0
2,"CD301, Brooklyn",307,307,2954,167,46,3781,4.7,4.3,2.7,2.8,3.2,2.9
6,"CD302, Brooklyn",148,206,3620,238,33,4245,2.3,2.9,3.3,3.9,2.3,3.2
14,"CD303, Brooklyn",203,336,2466,128,29,3162,3.1,4.7,2.2,2.1,2.0,2.4
22,"CD304, Brooklyn",141,135,1422,50,18,1766,2.2,1.9,1.3,0.8,1.3,1.3
64,"CD305, Brooklyn",196,55,1406,98,17,1772,3.0,0.8,1.3,1.6,1.2,1.4
54,"CD306, Brooklyn",109,307,2671,91,38,3216,1.7,4.3,2.4,1.5,2.7,2.5
9,"CD307, Brooklyn",99,158,1445,77,22,1801,1.5,2.2,1.3,1.3,1.6,1.4
55,"CD308, Brooklyn",47,118,1039,40,12,1256,0.7,1.7,0.9,0.7,0.8,1.0
16,"CD309, Brooklyn",63,76,727,41,20,927,1.0,1.1,0.7,0.7,1.4,0.7
10,"CD310, Brooklyn",44,80,1092,73,11,1300,0.7,1.1,1.0,1.2,0.8,1.0
1,"CD311, Brooklyn",63,112,1070,66,7,1318,1.0,1.6,1.0,1.1,0.5,1.0
11,"CD312, Brooklyn",199,242,1403,71,48,1963,3.1,3.4,1.3,1.2,3.4,1.5
7,"CD313, Brooklyn",56,41,955,83,9,1144,0.9,0.6,0.9,1.4,0.6,0.9
5,"CD314, Brooklyn",58,107,1047,74,40,1326,0.9,1.5,1.0,1.2,2.8,1.0
8,"CD315, Brooklyn",122,205,1335,56,35,1753,1.9,2.9,1.2,0.9,2.5,1.3
15,"CD316, Brooklyn",86,40,878,49,14,1067,1.3,0.6,0.8,0.8,1.0,0.8
17,"CD317, Brooklyn",120,83,1007,65,52,1327,1.8,1.2,0.9,1.1,3.7,1.0
39,"CD318, Brooklyn",54,112,1146,34,4,1350,0.8,1.6,1.0,0.6,0.3,1.0
56,"CD355, Brooklyn",0,0,11,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CD401, Queens",242,169,2167,149,55,2782,3.7,2.4,2.0,2.5,3.9,2.1
26,"CD402, Queens",229,99,1713,169,47,2257,3.5,1.4,1.6,2.8,3.3,1.7
68,"CD403, Queens",89,73,834,67,12,1075,1.4,1.0,0.8,1.1,0.8,0.8
27,"CD404, Queens",119,78,861,41,27,1126,1.8,1.1,0.8,0.7,1.9,0.9
28,"CD405, Queens",73,135,1235,59,12,1514,1.1,1.9,1.1,1.0,0.8,1.2
37,"CD406, Queens",41,81,938,51,6,1117,0.6,1.1,0.9,0.8,0.4,0.9
49,"CD407, Queens",340,282,2299,127,63,3111,5.2,4.0,2.1,2.1,4.4,2.4
46,"CD408, Queens",83,211,1052,58,28,1432,1.3,3.0,1.0,1.0,2.0,1.1
65,"CD409, Queens",46,74,757,29,17,923,0.7,1.0,0.7,0.5,1.2,0.7
61,"CD410, Queens",76,103,822,38,20,1059,1.2,1.5,0.7,0.6,1.4,0.8
47,"CD411, Queens",145,231,1180,43,44,1643,2.2,3.3,1.1,0.7,3.1,1.3
3,"CD412, Queens",243,199,1854,91,32,2419,3.7,2.8,1.7,1.5,2.3,1.8
66,"CD413, Queens",67,174,1349,29,18,1637,1.0,2.5,1.2,0.5,1.3,1.2
57,"CD414, Queens",195,85,1442,68,30,1820,3.0,1.2,1.3,1.1,2.1,1.4
69,"CD480, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,"CD481, Queens",2,0,31,8,0,41,0.0,0.0,0.0,0.1,0.0,0.0
38,"CD482, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,"CD483, Queens",0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
23,"CD484, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,"CD501, Staten Island",262,114,1557,81,41,2055,4.0,1.6,1.4,1.3,2.9,1.6
34,"CD502, Staten Island",280,142,1356,47,61,1886,4.3,2.0,1.2,0.8,4.3,1.4
35,"CD503, Staten Island",467,121,1337,66,89,2080,7.2,1.7,1.2,1.1,6.3,1.6
12,"CD595, Staten Island",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
