FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",5,11,377,86,2,481,0.8,1.4,3.7,4.3,1.1,3.5
29,"CD102, Manhattan",12,30,522,106,1,671,1.9,3.8,5.2,5.3,0.5,4.9
30,"CD103, Manhattan",10,13,278,49,0,350,1.6,1.6,2.8,2.4,0.0,2.6
21,"CD104, Manhattan",10,13,358,100,3,484,1.6,1.6,3.6,5.0,1.6,3.5
13,"CD105, Manhattan",7,29,1173,153,2,1364,1.1,3.7,11.6,7.6,1.1,10.0
31,"CD106, Manhattan",2,8,422,85,0,517,0.3,1.0,4.2,4.2,0.0,3.8
20,"CD107, Manhattan",2,12,465,112,0,591,0.3,1.5,4.6,5.6,0.0,4.3
42,"CD108, Manhattan",3,33,625,120,1,782,0.5,4.2,6.2,6.0,0.5,5.7
60,"CD109, Manhattan",1,7,161,23,0,192,0.2,0.9,1.6,1.1,0.0,1.4
70,"CD110, Manhattan",3,7,130,26,1,167,0.5,0.9,1.3,1.3,0.5,1.2
48,"CD111, Manhattan",1,10,115,36,3,165,0.2,1.3,1.1,1.8,1.6,1.2
71,"CD112, Manhattan",0,8,175,34,0,217,0.0,1.0,1.7,1.7,0.0,1.6
18,"CD164, Manhattan",0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
41,"CD201, Bronx",4,5,77,22,0,108,0.6,0.6,0.8,1.1,0.0,0.8
44,"CD202, Bronx",0,0,19,9,0,28,0.0,0.0,0.2,0.4,0.0,0.2
53,"CD203, Bronx",1,5,30,17,3,56,0.2,0.6,0.3,0.8,1.6,0.4
32,"CD204, Bronx",4,4,51,22,0,81,0.6,0.5,0.5,1.1,0.0,0.6
62,"CD205, Bronx",0,1,76,18,2,97,0.0,0.1,0.8,0.9,1.1,0.7
63,"CD206, Bronx",4,1,66,21,3,95,0.6,0.1,0.7,1.0,1.6,0.7
36,"CD207, Bronx",3,3,71,26,0,103,0.5,0.4,0.7,1.3,0.0,0.8
24,"CD208, Bronx",6,8,54,15,1,84,0.9,1.0,0.5,0.7,0.5,0.6
45,"CD209, Bronx",3,4,52,12,0,71,0.5,0.5,0.5,0.6,0.0,0.5
59,"CD210, Bronx",7,7,59,14,1,88,1.1,0.9,0.6,0.7,0.5,0.6
50,"CD211, Bronx",5,2,46,14,0,67,0.8,0.3,0.5,0.7,0.0,0.5
58,"CD212, Bronx",4,10,71,10,2,97,0.6,1.3,0.7,0.5,1.1,0.7
33,"CD226, Bronx",0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,"CD301, Brooklyn",32,39,215,83,14,383,5.0,4.9,2.1,4.1,7.6,2.8
6,"CD302, Brooklyn",15,28,317,85,3,448,2.4,3.5,3.1,4.2,1.6,3.3
14,"CD303, Brooklyn",30,36,180,39,3,288,4.7,4.5,1.8,1.9,1.6,2.1
22,"CD304, Brooklyn",16,20,125,19,8,188,2.5,2.5,1.2,0.9,4.3,1.4
64,"CD305, Brooklyn",11,7,139,26,2,185,1.7,0.9,1.4,1.3,1.1,1.3
54,"CD306, Brooklyn",41,39,264,54,1,399,6.5,4.9,2.6,2.7,0.5,2.9
9,"CD307, Brooklyn",14,27,139,28,3,211,2.2,3.4,1.4,1.4,1.6,1.5
55,"CD308, Brooklyn",4,18,114,20,2,158,0.6,2.3,1.1,1.0,1.1,1.2
16,"CD309, Brooklyn",2,5,63,11,4,85,0.3,0.6,0.6,0.5,2.2,0.6
10,"CD310, Brooklyn",2,11,103,23,2,141,0.3,1.4,1.0,1.1,1.1,1.0
1,"CD311, Brooklyn",5,14,114,16,3,152,0.8,1.8,1.1,0.8,1.6,1.1
11,"CD312, Brooklyn",17,26,93,17,7,160,2.7,3.3,0.9,0.8,3.8,1.2
7,"CD313, Brooklyn",7,1,74,23,2,107,1.1,0.1,0.7,1.1,1.1,0.8
5,"CD314, Brooklyn",4,5,87,21,0,117,0.6,0.6,0.9,1.0,0.0,0.9
8,"CD315, Brooklyn",6,10,111,24,7,158,0.9,1.3,1.1,1.2,3.8,1.2
15,"CD316, Brooklyn",5,3,86,9,0,103,0.8,0.4,0.9,0.4,0.0,0.8
17,"CD317, Brooklyn",4,6,86,23,0,119,0.6,0.8,0.9,1.1,0.0,0.9
39,"CD318, Brooklyn",0,13,106,10,4,133,0.0,1.6,1.1,0.5,2.2,1.0
56,"CD355, Brooklyn",0,0,2,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CD401, Queens",11,20,156,54,18,259,1.7,2.5,1.5,2.7,9.7,1.9
26,"CD402, Queens",47,4,166,51,2,270,7.4,0.5,1.6,2.5,1.1,2.0
68,"CD403, Queens",7,14,81,15,2,119,1.1,1.8,0.8,0.7,1.1,0.9
27,"CD404, Queens",13,9,77,18,8,125,2.0,1.1,0.8,0.9,4.3,0.9
28,"CD405, Queens",5,10,125,24,4,168,0.8,1.3,1.2,1.2,2.2,1.2
37,"CD406, Queens",2,11,83,18,0,114,0.3,1.4,0.8,0.9,0.0,0.8
49,"CD407, Queens",34,37,229,24,14,338,5.4,4.7,2.3,1.2,7.6,2.5
46,"CD408, Queens",5,17,102,24,1,149,0.8,2.1,1.0,1.2,0.5,1.1
65,"CD409, Queens",3,7,77,14,1,102,0.5,0.9,0.8,0.7,0.5,0.7
61,"CD410, Queens",7,15,91,16,3,132,1.1,1.9,0.9,0.8,1.6,1.0
47,"CD411, Queens",19,20,93,6,8,146,3.0,2.5,0.9,0.3,4.3,1.1
3,"CD412, Queens",10,20,185,24,4,243,1.6,2.5,1.8,1.2,2.2,1.8
66,"CD413, Queens",8,17,140,14,0,179,1.3,2.1,1.4,0.7,0.0,1.3
57,"CD414, Queens",15,14,216,11,7,263,2.4,1.8,2.1,0.5,3.8,1.9
69,"CD480, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,"CD481, Queens",1,0,1,0,1,3,0.2,0.0,0.0,0.0,0.5,0.0
38,"CD482, Queens",0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
67,"CD483, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,"CD484, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,"CD501, Staten Island",20,8,130,19,8,185,3.1,1.0,1.3,0.9,4.3,1.3
34,"CD502, Staten Island",43,21,143,13,9,229,6.8,2.6,1.4,0.6,4.9,1.7
35,"CD503, Staten Island",73,11,85,8,5,182,11.5,1.4,0.8,0.4,2.7,1.3
12,"CD595, Staten Island",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
