FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",62,154,3660,658,9,4543,1.0,2.2,3.8,3.5,0.5,3.5
29,"CD102, Manhattan",59,244,4779,992,16,6090,1.0,3.5,5.0,5.3,0.9,4.7
30,"CD103, Manhattan",64,109,2703,552,18,3446,1.0,1.6,2.8,2.9,1.0,2.7
21,"CD104, Manhattan",118,122,3355,933,36,4564,1.9,1.7,3.5,5.0,2.1,3.5
13,"CD105, Manhattan",74,285,11277,1430,32,13098,1.2,4.1,11.8,7.6,1.9,10.1
31,"CD106, Manhattan",36,112,4191,645,4,4988,0.6,1.6,4.4,3.4,0.2,3.9
20,"CD107, Manhattan",36,163,4583,848,9,5639,0.6,2.3,4.8,4.5,0.5,4.4
42,"CD108, Manhattan",40,183,5459,1130,20,6832,0.6,2.6,5.7,6.0,1.2,5.3
60,"CD109, Manhattan",21,64,1435,259,5,1784,0.3,0.9,1.5,1.4,0.3,1.4
70,"CD110, Manhattan",36,100,1197,340,14,1687,0.6,1.4,1.3,1.8,0.8,1.3
48,"CD111, Manhattan",41,69,1277,375,11,1773,0.7,1.0,1.3,2.0,0.6,1.4
71,"CD112, Manhattan",16,54,1691,350,4,2115,0.3,0.8,1.8,1.9,0.2,1.6
18,"CD164, Manhattan",0,0,18,1,0,19,0.0,0.0,0.0,0.0,0.0,0.0
41,"CD201, Bronx",65,36,646,232,5,984,1.1,0.5,0.7,1.2,0.3,0.8
44,"CD202, Bronx",26,20,370,78,5,499,0.4,0.3,0.4,0.4,0.3,0.4
53,"CD203, Bronx",40,22,349,156,9,576,0.6,0.3,0.4,0.8,0.5,0.4
32,"CD204, Bronx",51,35,695,213,10,1004,0.8,0.5,0.7,1.1,0.6,0.8
62,"CD205, Bronx",20,21,503,149,16,709,0.3,0.3,0.5,0.8,0.9,0.5
63,"CD206, Bronx",58,24,561,162,23,828,0.9,0.3,0.6,0.9,1.3,0.6
36,"CD207, Bronx",42,24,646,185,12,909,0.7,0.3,0.7,1.0,0.7,0.7
24,"CD208, Bronx",28,43,507,147,10,735,0.5,0.6,0.5,0.8,0.6,0.6
45,"CD209, Bronx",49,22,683,218,7,979,0.8,0.3,0.7,1.2,0.4,0.8
59,"CD210, Bronx",66,47,515,103,16,747,1.1,0.7,0.5,0.6,0.9,0.6
50,"CD211, Bronx",34,41,448,126,5,654,0.6,0.6,0.5,0.7,0.3,0.5
58,"CD212, Bronx",83,50,673,95,15,916,1.3,0.7,0.7,0.5,0.9,0.7
33,"CD226, Bronx",0,0,4,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,3,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,"CD301, Brooklyn",341,300,2252,827,99,3819,5.5,4.3,2.4,4.4,5.8,3.0
6,"CD302, Brooklyn",139,253,2607,689,16,3704,2.3,3.6,2.7,3.7,0.9,2.9
14,"CD303, Brooklyn",271,263,1647,440,40,2661,4.4,3.7,1.7,2.4,2.3,2.1
22,"CD304, Brooklyn",175,136,1192,299,54,1856,2.8,1.9,1.2,1.6,3.1,1.4
64,"CD305, Brooklyn",212,64,1166,284,13,1739,3.4,0.9,1.2,1.5,0.8,1.3
54,"CD306, Brooklyn",143,281,2005,502,19,2950,2.3,4.0,2.1,2.7,1.1,2.3
9,"CD307, Brooklyn",75,186,1416,176,16,1869,1.2,2.7,1.5,0.9,0.9,1.4
55,"CD308, Brooklyn",88,177,1101,276,13,1655,1.4,2.5,1.2,1.5,0.8,1.3
16,"CD309, Brooklyn",61,49,748,138,22,1018,1.0,0.7,0.8,0.7,1.3,0.8
10,"CD310, Brooklyn",27,84,1086,141,9,1347,0.4,1.2,1.1,0.8,0.5,1.0
1,"CD311, Brooklyn",53,108,1135,121,26,1443,0.9,1.5,1.2,0.6,1.5,1.1
11,"CD312, Brooklyn",181,292,1006,263,78,1820,2.9,4.2,1.1,1.4,4.5,1.4
7,"CD313, Brooklyn",57,40,639,180,24,940,0.9,0.6,0.7,1.0,1.4,0.7
5,"CD314, Brooklyn",70,69,1026,211,19,1395,1.1,1.0,1.1,1.1,1.1,1.1
8,"CD315, Brooklyn",141,180,1305,215,75,1916,2.3,2.6,1.4,1.1,4.4,1.5
15,"CD316, Brooklyn",55,43,604,121,14,837,0.9,0.6,0.6,0.6,0.8,0.6
17,"CD317, Brooklyn",78,63,629,132,26,928,1.3,0.9,0.7,0.7,1.5,0.7
39,"CD318, Brooklyn",39,76,957,80,12,1164,0.6,1.1,1.0,0.4,0.7,0.9
56,"CD355, Brooklyn",0,0,9,14,0,23,0.0,0.0,0.0,0.1,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CD401, Queens",148,180,1535,460,68,2391,2.4,2.6,1.6,2.5,4.0,1.9
26,"CD402, Queens",152,88,1399,429,36,2104,2.5,1.3,1.5,2.3,2.1,1.6
68,"CD403, Queens",46,101,853,159,20,1179,0.7,1.4,0.9,0.8,1.2,0.9
27,"CD404, Queens",119,73,840,160,41,1233,1.9,1.0,0.9,0.9,2.4,1.0
28,"CD405, Queens",48,116,1315,130,25,1634,0.8,1.7,1.4,0.7,1.5,1.3
