FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC14
19,"CD101, Manhattan",11,26,1032,35,0,226,0.6,1.4,3.1,4.7,0.0,1.9
29,"CD102, Manhattan",11,46,1657,40,2,352,0.6,2.5,4.9,5.4,0.5,2.9
30,"CD103, Manhattan",17,25,795,10,3,183,1.0,1.4,2.4,1.3,0.7,1.5
21,"CD104, Manhattan",18,46,1235,43,0,327,1.0,2.5,3.7,5.8,0.0,2.7
13,"CD105, Manhattan",35,58,3449,82,3,638,2.0,3.1,10.3,11.0,0.7,5.3
31,"CD106, Manhattan",10,13,1188,26,1,261,0.6,0.7,3.5,3.5,0.2,2.2
20,"CD107, Manhattan",7,34,1478,33,0,338,0.4,1.8,4.4,4.4,0.0,2.8
42,"CD108, Manhattan",10,43,1953,37,4,452,0.6,2.3,5.8,5.0,1.0,3.8
60,"CD109, Manhattan",9,16,423,9,1,139,0.5,0.9,1.3,1.2,0.2,1.2
70,"CD110, Manhattan",9,28,468,7,1,155,0.5,1.5,1.4,0.9,0.2,1.3
48,"CD111, Manhattan",11,20,363,13,2,143,0.6,1.1,1.1,1.7,0.5,1.2
71,"CD112, Manhattan",7,10,450,9,5,151,0.4,0.5,1.3,1.2,1.2,1.3
18,"CD164, Manhattan",0,0,17,3,0,7,0.0,0.0,0.1,0.4,0.0,0.1
41,"CD201, Bronx",19,9,297,15,1,115,1.1,0.5,0.9,2.0,0.2,1.0
44,"CD202, Bronx",14,5,156,2,1,64,0.8,0.3,0.5,0.3,0.2,0.5
53,"CD203, Bronx",25,4,200,19,2,106,1.4,0.2,0.6,2.5,0.5,0.9
32,"CD204, Bronx",9,9,261,14,6,87,0.5,0.5,0.8,1.9,1.5,0.7
62,"CD205, Bronx",16,4,254,10,9,75,0.9,0.2,0.8,1.3,2.2,0.6
63,"CD206, Bronx",23,15,275,11,3,129,1.3,0.8,0.8,1.5,0.7,1.1
36,"CD207, Bronx",31,9,260,9,13,92,1.8,0.5,0.8,1.2,3.2,0.8
24,"CD208, Bronx",13,8,190,4,1,64,0.7,0.4,0.6,0.5,0.2,0.5
45,"CD209, Bronx",10,9,333,3,4,183,0.6,0.5,1.0,0.4,1.0,1.5
59,"CD210, Bronx",7,9,226,2,3,94,0.4,0.5,0.7,0.3,0.7,0.8
50,"CD211, Bronx",8,13,231,15,8,125,0.5,0.7,0.7,2.0,2.0,1.0
58,"CD212, Bronx",31,19,336,7,5,204,1.8,1.0,1.0,0.9,1.2,1.7
33,"CD226, Bronx",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,"CD227, Bronx",0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,"CD228, Bronx",0,0,0,1,0,1,0.0,0.0,0.0,0.1,0.0,0.0
2,"CD301, Brooklyn",79,74,885,18,19,328,4.5,4.0,2.6,2.4,4.7,2.7
6,"CD302, Brooklyn",22,59,1155,32,7,422,1.3,3.2,3.4,4.3,1.7,3.5
14,"CD303, Brooklyn",48,69,620,17,10,308,2.8,3.7,1.8,2.3,2.5,2.6
22,"CD304, Brooklyn",28,34,370,6,4,130,1.6,1.8,1.1,0.8,1.0,1.1
64,"CD305, Brooklyn",28,18,396,6,11,225,1.6,1.0,1.2,0.8,2.7,1.9
54,"CD306, Brooklyn",20,77,930,9,13,320,1.2,4.2,2.8,1.2,3.2,2.7
9,"CD307, Brooklyn",24,37,528,8,10,183,1.4,2.0,1.6,1.1,2.5,1.5
55,"CD308, Brooklyn",15,31,330,7,5,124,0.9,1.7,1.0,0.9,1.2,1.0
16,"CD309, Brooklyn",11,18,207,5,3,86,0.6,1.0,0.6,0.7,0.7,0.7
10,"CD310, Brooklyn",9,19,367,4,5,119,0.5,1.0,1.1,0.5,1.2,1.0
1,"CD311, Brooklyn",9,30,303,3,0,97,0.5,1.6,0.9,0.4,0.0,0.8
11,"CD312, Brooklyn",42,60,428,4,17,195,2.4,3.3,1.3,0.5,4.2,1.6
7,"CD313, Brooklyn",13,18,210,4,8,83,0.7,1.0,0.6,0.5,2.0,0.7
5,"CD314, Brooklyn",10,30,331,6,14,119,0.6,1.6,1.0,0.8,3.4,1.0
8,"CD315, Brooklyn",33,51,375,4,3,179,1.9,2.8,1.1,0.5,0.7,1.5
15,"CD316, Brooklyn",13,8,229,7,2,102,0.7,0.4,0.7,0.9,0.5,0.8
17,"CD317, Brooklyn",17,15,314,6,11,162,1.0,0.8,0.9,0.8,2.7,1.3
39,"CD318, Brooklyn",12,19,344,6,1,209,0.7,1.0,1.0,0.8,0.2,1.7
56,"CD355, Brooklyn",0,0,12,1,0,5,0.0,0.0,0.0,0.1,0.0,0.0
40,"CD356, Brooklyn",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CD401, Queens",66,55,628,13,21,258,3.8,3.0,1.9,1.7,5.2,2.1
26,"CD402, Queens",35,31,520,13,6,162,2.0,1.7,1.5,1.7,1.5,1.3
68,"CD403, Queens",23,20,302,7,2,123,1.3,1.1,0.9,0.9,0.5,1.0
27,"CD404, Queens",23,19,286,7,1,99,1.3,1.0,0.9,0.9,0.2,0.8
28,"CD405, Queens",19,46,469,6,3,166,1.1,2.5,1.4,0.8,0.7,1.4
37,"CD406, Queens",8,19,345,5,1,91,0.5,1.0,1.0,0.7,0.2,0.8
49,"CD407, Queens",134,94,833,9,30,375,7.7,5.1,2.5,1.2,7.4,3.1
46,"CD408, Queens",16,53,359,4,14,169,0.9,2.9,1.1,0.5,3.4,1.4
65,"CD409, Queens",15,21,276,7,4,145,0.9,1.1,0.8,0.9,1.0,1.2
61,"CD410, Queens",38,27,294,4,5,189,2.2,1.5,0.9,0.5,1.2,1.6
47,"CD411, Queens",72,63,460,6,16,268,4.1,3.4,1.4,0.8,3.9,2.2
3,"CD412, Queens",82,62,685,11,10,432,4.7,3.4,2.0,1.5,2.5,3.6
66,"CD413, Queens",29,73,486,3,4,324,1.7,4.0,1.4,0.4,1.0,2.7
57,"CD414, Queens",63,23,313,9,10,228,3.6,1.2,0.9,1.2,2.5,1.9
69,"CD480, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,"CD481, Queens",0,0,18,0,0,6,0.0,0.0,0.1,0.0,0.0,0.0
38,"CD482, Queens",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,"CD483, Queens",1,0,3,0,0,2,0.1,0.0,0.0,0.0,0.0,0.0
23,"CD484, Queens",0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,"CD501, Staten Island",99,32,485,16,27,325,5.7,1.7,1.4,2.1,6.6,2.7
34,"CD502, Staten Island",94,30,518,10,13,252,5.4,1.6,1.5,1.3,3.2,2.1
35,"CD503, Staten Island",128,30,461,5,19,291,7.4,1.6,1.4,0.7,4.7,2.4
12,"CD595, Staten Island",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
