address,status,street,borough,zip,cb,cwz,bbl
"88-23 31 AVENUE,QUEENS 11369",OK,88-23 31 AVENUE,QUEENS,11369,403,QN2,40.759888,,-73.879898,,4013860034
"2166 CONEY ISLAND AVENUE,BROOKLYN 11223",OK,2166 CONEY ISLAND AVENUE,BROOKLYN,11223,315,BK5,40.6042,,-73.961654,,3066850034
"170 Joralemon Street,BROOKLYN 11201",OK,170 JORALEMON STREET,BROOKLYN,11201,302,BK2,40.692726,,-73.992287,,3002650010
"3210 Riverdale Avenue,BRONX 10463",OK,3210 RIVERDALE AVENUE,BRONX,10463,208,BX1,40.882995,,-73.908173,,2057597501
"21-35 21 AVENUE,QUEENS 11105",OK,21-35 21 AVENUE,QUEENS,11105,401,QN1,40.781764,,-73.913837,,4008820002
"376 BAY 44 STREET,BROOKLYN 11214",OK,376 BAY   44 STREET,BROOKLYN,11214,313,BK5,40.587523,,-73.993883,,3069440085
"110 RIDGE STREET,MANHATTAN 10002",OK,110 RIDGE STREET,MANHATTAN,10002,103,MN2,40.718918,,-73.983204,,1003440040
"985 ASTOR AVENUE,BRONX 10469",OK,985 ASTOR AVENUE,BRONX,10469,211,BX2,40.85969,,-73.859256,,2043600001
"26 WILLOW PLACE,BROOKLYN 11201",OK,26 WILLOW PLACE,BROOKLYN,11201,302,BK2,40.693113,,-73.997854,,3002590012
"12 EAST   79 STREET,MANHATTAN 10075",OK,12 EAST   79 STREET,MANHATTAN,10075,108,MN6,40.776723,,-73.963092,,1013930062
"195-05 LINDEN BOULEVARD,QUEENS 11412",OK,195-05 LINDEN BOULEVARD,QUEENS,11412,412,QN4,40.693424,,-73.756869,,4110670040
"3041 KINGSBRIDGE AVENUE,BRONX 10463",OK,3041 KINGSBRIDGE AVENUE,BRONX,10463,208,BX1,40.878954,,-73.907401,,2057090046
"236 WEST 129 STREET,MANHATTAN 10027",OK,236 WEST  129 STREET,MANHATTAN,10027,110,MN7,40.811811,,-73.947207,,1019330001
"60 WATER ST,BROOKLYN 11201",OK,60 WATER STREET,BROOKLYN,11201,302,BK2,40.703271,,-73.991665,,3000367504
"190-04 119 AVENUE,QUEENS 11412",OK,190-04 119 AVENUE,QUEENS,11412,412,QN4,40.688997,,-73.75968,,4126460001
"1657 VICTORY BOULEVARD,STATEN ISLAND 10314",OK,1657 VICTORY BOULEVARD,STATEN IS,10314,501,SI1,40.613365,,-74.118974,,5003470006
"112-18 SPRINGFIELD BLVD,QUEENS 11429",OK,112-18 SPRINGFIELD BOULEVARD,QUEENS,11429,413,QN4,40.705009,,-73.739937,,4111410056
"2422 RALPH AVENUE,BROOKLYN 11234",OK,2422 RALPH AVENUE,BROOKLYN,11234,318,BK3,40.61899,,-73.917213,,3079040052
"975 E 13TH ST,BROOKLYN 11230",OK,975 EAST   13 STREET,BROOKLYN,11230,314,BK5,40.625832,,-73.963399,,3067060048
"578 E 138TH ST,BRONX 10454",OK,578 EAST  138 STREET,BRONX,10454,201,BX1,40.806586,,-73.916962,,2025500012
"1621 CHURCH AVENUE,BROOKLYN 11226",OK,1621 CHURCH AVENUE,BROOKLYN,11226,314,BK5,40.648834,,-73.964637,,3050770032
"136-16 31 ROAD,QUEENS 11354",OK,136-16 31 ROAD,QUEENS,11354,407,QN3,40.769404,,-73.831562,,4044097503
"137-25 BROOKVILLE BLVD,QUEENS 11422",OK,137-25 BROOKVILLE BOULEVARD,QUEENS,11422,413,QN4,40.669148,,-73.736429,,4132350001
"3231 STEUBEN AVENUE,BRONX 10467",OK,3231 STEUBEN AVENUE,BRONX,10467,207,BX1,40.877443,,-73.881711,,2033260037
"220 CABRINI BOULEVARD,MANHATTAN 10033",OK,220 CABRINI BOULEVARD,MANHATTAN,10033,112,MN7,40.854901,,-73.93849,,1021790274
"882 FULTON ST,BROOKLYN 11238",OK,882 FULTON STREET,BROOKLYN,11238,302,BK2,40.683292,,-73.966021,,3020117502
"950 Westchester Avenue,BRONX 10459",OK,950 WESTCHESTER AVENUE,BRONX,10459,202,BX2,40.822388,,-73.896326,,2027037501
"66-07 ALDERTON STREET,QUEENS 11374",OK,66-07 ALDERTON STREET,QUEENS,11374,406,QN2,40.719316,,-73.859091,,4031500075
"265 LOTT AVENUE,BROOKLYN 11212",OK,265 LOTT AVENUE,BROOKLYN,11212,316,BK3,40.658562,,-73.903602,,3038450047
"80-11 101 AVENUE,QUEENS 11416",OK,80-11 101 AVENUE,QUEENS,11416,409,QN4,40.680784,,-73.858271,,4090510037
"70 PROSPECT PARK WEST,BROOKLYN 11215",OK,70 PROSPECT PARK WEST,BROOKLYN,11215,306,BK2,40.668316,,-73.973761,,3010790040
"237 JEROME STREET,BROOKLYN 11207",OK,237 JEROME STREET,BROOKLYN,11207,305,BK3,40.676219,,-73.887479,,3039660001
"3952 3RD AVE,BRONX 10457",OK,3952 3 AVENUE,BRONX,10457,203,BX1,40.840522,,-73.899485,,2029297501
"113-15 SPRINGFIELD BLVD.,QUEENS 11429",OK,113-15 SPRINGFIELD BOULEVARD,QUEENS,11429,413,QN4,40.703772,,-73.740367,,4112310081
"5215 CHURCH AVENUE,BROOKLYN 11203",OK,5215 CHURCH AVENUE,BROOKLYN,11203,317,BK3,40.652221,,-73.928236,,3046780041
"84 VERMILYEA AVENUE,MANHATTAN 10034",OK,84 VERMILYEA AVENUE,MANHATTAN,10034,112,MN7,40.865838,,-73.923128,,1022340029
"2800E VICTORY BOULEVARD,STATEN ISLAND 10314",OK,2800E VICTORY BOULEVARD,STATEN IS,10314,502,SI1,40.604278,,-74.148517,,5020400001
"141-19 224 STREET,QUEENS 11413",OK,141-19 224 STREET,QUEENS,11413,413,QN4,40.669272,,-73.751402,,4131520035
"2023 PACIFIC STREET,BROOKLYN 11233",OK,2023 PACIFIC STREET,BROOKLYN,11233,316,BK3,40.676107,,-73.921328,,3014310054
"1518 86TH ST,BROOKLYN 11228",OK,1518 86 STREET,BROOKLYN,11228,311,BK4,40.611129,,-74.009073,,3063600044
"100 Church Street,MANHATTAN 10007",OK,100 CHURCH STREET,MANHATTAN,10007,101,MN1A,40.712968,,-74.00949,,1001250020
"1909 LONGFELLOW AVENUE,BRONX 10460",OK,1909 LONGFELLOW AVENUE,BRONX,10460,206,BX1,40.839111,,-73.88214,,2030047501
"4035 WHITE PLAINS ROAD,BRONX 10466",OK,4035 WHITE PLAINS ROAD,BRONX,10466,212,BX2,40.889536,,-73.859522,,2048290006
"252-20 NORTHERN BOULEVARD,QUEENS 11362",OK,252-20 NORTHERN BOULEVARD,QUEENS,11362,411,QN3,40.769974,,-73.736051,,4082290006
"369 3RD AVE,MANHATTAN 10016",OK,369 3 AVENUE,MANHATTAN,10016,106,MN2,40.741131,,-73.981459,,1009070056
"75-43 PARSONS BLVD,QUEENS 11366",OK,75-43 PARSONS BOULEVARD,QUEENS,11366,408,QN3,40.725581,,-73.810675,,4068240001
"99-17 63 ROAD,QUEENS 11374",OK,99-17 63 ROAD,QUEENS,11374,406,QN2,40.73257,,-73.856685,,4021100056
"810 FLUSHING AVENUE,BROOKLYN 11206",OK,810 FLUSHING AVENUE,BROOKLYN,11206,304,BK1,40.701211,,-73.939775,,3031317501
"43-23 COLDEN STREET,QUEENS 11355",OK,43-23 COLDEN STREET,QUEENS,11355,407,QN3,40.752536,,-73.824981,,4051370005
"1972 EAST 34TH STREET,BROOKLYN 11234",OK,1972 EAST   34 STREET,BROOKLYN,11234,318,BK3,40.60935,,-73.933418,,3085000077
"2505 AQUEDUCT AVENUE,BRONX 10468",OK,2505 AQUEDUCT AVENUE,BRONX,10468,207,BX1,40.865194,,-73.90229,,2032140066
"279-281 EAST BURNSIDE AVENUE,BRONX 10457",OK,279-281 EAST BURNSIDE AVENUE,BRONX,10457,205,BX1,40.851154,,-73.901891,,2031560081
"2901 WHITE PLAINS ROAD,BRONX 10467",OK,2901 WHITE PLAINS ROAD,BRONX,10467,211,BX2,40.868024,,-73.867283,,2045420001
"5721 6TH  AVENUE,BROOKLYN 11220",OK,5721 6 AVENUE,BROOKLYN,11220,307,BK2,40.639688,,-74.012355,,3008490001
"184 ELDRIDGE STREET,MANHATTAN 10002",OK,184 ELDRIDGE STREET,MANHATTAN,10002,103,MN2,40.720653,,-73.990674,,1004150018
"3223 INDEPENDENCE AVENUE,BRONX 10463",OK,3223 INDEPENDENCE AVENUE,BRONX,10463,208,BX1,40.885591,,-73.914968,,2059010001
"35-01 24 STREET,QUEENS 11106",OK,35-01 24 STREET,QUEENS,11106,401,QN1,40.760172,,-73.932899,,4003380023
"844 DEKALB AVENUE,BROOKLYN 11221",OK,844 DEKALB AVENUE,BROOKLYN,11221,303,BK1,40.692423,,-73.942155,,3017820010
"454-78 152ND STREET,QUEENS 11357",REJECTED
"60 CATHERINE STREET,MANHATTAN 10038",OK,60 CATHERINE STREET,MANHATTAN,10038,103,MN2,40.711566,,-73.99684,,1001110100
"125 WEST 109 STREET,MANHATTAN 10025",OK,125 WEST  109 STREET,MANHATTAN,10025,107,MN5,40.801565,,-73.962367,,1018640009
