year,status_cal,count,avg,avg,avg
2010,Closed,135860,,,13.6080082437803621
2010,Open,715,4318.1370629370629371,2336.0444444444444444,
2011,Closed,131499,,,10.9385166427121119
2011,Open,1454,3945.6059147180192572,3633.6000000000000000,
2012,Closed,109643,,,10.2990706201034266
2012,Open,2294,3577.7454228421970357,3468.1709956709956710,
2013,Closed,115302,,,14.1999531664671905
2013,Open,1723,3245.2437608821822403,2909.8000000000000000,
2014,Closed,138672,,,15.5337919695396331
2014,Open,2578,2839.9674166020170675,2766.6438356164383562,
2015,Closed,151537,,,9.6146617657733755
2015,Open,3171,2503.9309366130558184,2395.0270833333333333,
2016,Closed,164676,,,11.5422101581286891
2016,Open,1120,2105.4357142857142857,1985.0298013245033113,
2017,Closed,254029,,,11.4532435273138106
2017,Open,1954,1740.4042988741044012,1766.0909090909090909,
2018,Closed,405491,,,7.7631390092505136
2018,Open,3755,1351.7629826897470040,1218.2093959731543624,
2019,Closed,266842,,,12.7475734704431836
2019,Open,6309,968.0259946108733555,717.3717880085653105,
2020,Closed,111260,,,18.4355653424411289
2020,Open,3183,734.8259503612943764,388.9682702149437052,
2021,Closed,196631,,,5.3380901282096923
2021,Open,6807,283.3746143675628030,55.8006271230729031,
2022,Closed,65078,,,4.3910077138203387
2022,Open,10655,52.6549976536837166,-23.2171633967350607,
