year,borough,community_board,complaint_type,descriptors,status_cal,count,avg,avg,avg
2010,BRONX,201,Collection Truck Noise,21 Collection Truck Noise,Closed,1,,,0.00000000000000000000
2010,BRONX,201,Derelict Vehicles,Derelict Vehicles,Closed,40,,,1.3000000000000000
2010,BRONX,201,Dirty Conditions,E1 Improper Disposal,Closed,20,,,3.6000000000000000
2010,BRONX,201,Dirty Conditions,E11 Litter Surveillance,Closed,3,,,9.0000000000000000
2010,BRONX,201,Dirty Conditions,E12 Illegal Dumping Surveillance,Closed,15,,,8.4666666666666667
2010,BRONX,201,Dirty Conditions,E15 Illegal Postering,Closed,74,,,1.8513513513513514
2010,BRONX,201,Dirty Conditions,E2 Receptacle Violation,Closed,5,,,2.0000000000000000
2010,BRONX,201,Dirty Conditions,E3 Dirty Sidewalk,Closed,29,,,3.2068965517241379
2010,BRONX,201,Dirty Conditions,E3A Dirty Area/Alleyway,Closed,32,,,3.2187500000000000
2010,BRONX,201,Dirty Conditions,"E4 18"" Law",Closed,1,,,2.0000000000000000
2010,BRONX,201,Dirty Conditions,E5 Loose Rubbish,Closed,2,,,5.5000000000000000
2010,BRONX,201,Dirty Conditions,E8 Canine Violation,Closed,32,,,2.1250000000000000
2010,BRONX,201,Graffiti,Graffiti,Closed,367,,,64.6076294277929155
2010,BRONX,201,Graffiti,Graffiti,Open,17,4322.0000000000000000,2704.5000000000000000,
2010,BRONX,201,Litter Basket Complaint,10 Litter Basket / Request,Closed,23,,,1.2608695652173913
2010,BRONX,201,Missed Collection,1 Missed Collection,Closed,17,,,0.58823529411764705882
2010,BRONX,201,Missed Collection,1R Missed Recycling-All Materials,Closed,10,,,0.50000000000000000000
2010,BRONX,201,Missed Collection,1RB Missed Recycling - M/G/Pl,Closed,1,,,1.00000000000000000000
2010,BRONX,201,Missed Collection,1RG Missed Recycling Paper,Closed,4,,,1.5000000000000000
2010,BRONX,201,Missed Collection,2 Bulk-Missed Collection,Closed,3,,,0.33333333333333333333
2010,BRONX,201,Missed Collection,2R Bulk-Missed Recy Collection,Closed,1,,,0.00000000000000000000
2010,BRONX,201,Other Enforcement,E10 Obstruction (Street/Sidewalk),Closed,10,,,0.80000000000000000000
2010,BRONX,201,Other Enforcement,E14 ASP/Restricted Parking,Closed,1,,,0.00000000000000000000
2010,BRONX,201,Other Enforcement,E2A Storage Of Receptacles,Closed,9,,,3.0000000000000000
2010,BRONX,201,Other Enforcement,E6 Commercial Waste Disposal,Closed,9,,,6.1111111111111111
2010,BRONX,201,Other Enforcement,ECR Commercial Routing Sticker,Closed,1,,,1.00000000000000000000
2010,BRONX,201,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,7,,,0.71428571428571428571
2010,BRONX,201,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,3,,,2.6666666666666667
2010,BRONX,201,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,4,,,2.0000000000000000
2010,BRONX,201,Sanitation Condition,12 Dead Animals,Closed,43,,,0.53488372093023255814
2010,BRONX,201,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,142,,,0.78873239436619718310
2010,BRONX,201,Sanitation Condition,22 Weeds,Closed,2,,,0.50000000000000000000
2010,BRONX,201,snow,15I Street Condition Ice-Non Storm,Closed,3,,,0.33333333333333333333
2010,BRONX,201,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,12,,,0.58333333333333333333
2010,BRONX,201,snow,E9 Snow / Icy Sidewalk,Closed,13,,,4.6923076923076923
2010,BRONX,201,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,7,,,0.85714285714285714286
