year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BRONX,201,Collection Truck Noise,Closed,1,,,0.00000000000000000000
2010,BRONX,201,Derelict Vehicles,Closed,40,,,1.3000000000000000
2010,BRONX,201,Dirty Conditions,Closed,213,,,3.0516431924882629
2010,BRONX,201,Graffiti,Closed,367,,,64.6076294277929155
2010,BRONX,201,Graffiti,Open,17,4322.0000000000000000,2704.5000000000000000,
2010,BRONX,201,Litter Basket Complaint,Closed,23,,,1.2608695652173913
2010,BRONX,201,Missed Collection,Closed,36,,,0.63888888888888888889
2010,BRONX,201,Other Enforcement,Closed,30,,,3.0333333333333333
2010,BRONX,201,Overflowing Litter Baskets,Closed,7,,,0.71428571428571428571
2010,BRONX,201,Recycling Enforcement,Closed,7,,,2.2857142857142857
2010,BRONX,201,Sanitation Condition,Closed,187,,,0.72727272727272727273
2010,BRONX,201,snow,Closed,28,,,2.4642857142857143
2010,BRONX,201,Sweeping Complaint,Closed,7,,,0.85714285714285714286
2010,BRONX,201,Vacant Lot,Closed,8,,,5.6250000000000000
2010,BRONX,202,Adopt-A-Basket,Closed,1,,,1.00000000000000000000
2010,BRONX,202,Collection Truck Noise,Closed,3,,,0.33333333333333333333
2010,BRONX,202,Derelict Vehicles,Closed,50,,,1.5200000000000000
2010,BRONX,202,Dirty Conditions,Closed,232,,,4.1034482758620690
2010,BRONX,202,Graffiti,Closed,299,,,65.9665551839464883
2010,BRONX,202,Graffiti,Open,9,4298.3333333333333333,,
2010,BRONX,202,Litter Basket Complaint,Closed,21,,,2.3809523809523810
2010,BRONX,202,Missed Collection,Closed,64,,,0.81250000000000000000
2010,BRONX,202,Other Enforcement,Closed,22,,,3.2727272727272727
2010,BRONX,202,Overflowing Litter Baskets,Closed,1,,,1.00000000000000000000
2010,BRONX,202,Recycling Enforcement,Closed,6,,,5.0000000000000000
2010,BRONX,202,Sanitation Condition,Closed,255,,,0.96078431372549019608
2010,BRONX,202,snow,Closed,8,,,3.2500000000000000
2010,BRONX,202,Sweeping Complaint,Closed,2,,,1.5000000000000000
2010,BRONX,202,Vacant Lot,Closed,16,,,30.5000000000000000
