year,borough,complaint_type,status_cal,count,avg,avg,avg
2010,BRONX,Adopt-A-Basket,Closed,10,,,1.4000000000000000
2010,BRONX,Collection Truck Noise,Closed,9,,,0.66666666666666666667
2010,BRONX,Derelict Vehicles,Closed,1714,,,2.1890315052508751
2010,BRONX,Dirty Conditions,Closed,5897,,,3.3564524334407326
2010,BRONX,Graffiti,Closed,4776,,,77.9185510887772194
2010,BRONX,Graffiti,Open,138,4318.3840579710144928,1586.0000000000000000,
2010,BRONX,Litter Basket Complaint,Closed,288,,,1.8854166666666667
2010,BRONX,Missed Collection,Closed,1414,,,1.3500707213578501
2010,BRONX,Other Enforcement,Closed,380,,,3.1657894736842105
2010,BRONX,Overflowing Litter Baskets,Closed,117,,,1.1538461538461538
2010,BRONX,Recycling Enforcement,Closed,99,,,5.1010101010101010
2010,BRONX,Sanitation Condition,Closed,3491,,,1.3162417645373818
2010,BRONX,snow,Closed,919,,,2.7116430903155604
2010,BRONX,Sweeping Complaint,Closed,77,,,0.93506493506493506494
2010,BRONX,Vacant Lot,Closed,283,,,35.7632508833922261
2010,BRONX,Vacant Lot,Open,3,4348.3333333333333333,,
2010,BROOKLYN,Adopt-A-Basket,Closed,5,,,5.4000000000000000
2010,BROOKLYN,Collection Truck Noise,Closed,36,,,2.1111111111111111
2010,BROOKLYN,Derelict Bicycle,Closed,47,,,1.5744680851063830
2010,BROOKLYN,Derelict Vehicles,Closed,3818,,,1.4544264012572027
2010,BROOKLYN,Dirty Conditions,Closed,9280,,,4.9977370689655172
2010,BROOKLYN,Graffiti,Closed,5067,,,87.6408131044010262
2010,BROOKLYN,Graffiti,Open,140,4327.7857142857142857,1894.3750000000000000,
2010,BROOKLYN,Litter Basket Complaint,Closed,857,,,1.7246207701283547
2010,BROOKLYN,Missed Collection,Closed,4912,,,1.3764250814332248
2010,BROOKLYN,Other Enforcement,Closed,1651,,,4.2592368261659600
2010,BROOKLYN,Overflowing Litter Baskets,Closed,564,,,0.99822695035460992908
2010,BROOKLYN,Recycling Enforcement,Closed,481,,,6.3243243243243243
2010,BROOKLYN,Sanitation Condition,Closed,10669,,,1.31249414190645796232
2010,BROOKLYN,snow,Closed,4551,,,3.9274884640738299
2010,BROOKLYN,Sweeping Complaint,Closed,655,,,1.1374045801526718
2010,BROOKLYN,Vacant Lot,Closed,691,,,21.3675832127351664
2010,BROOKLYN,Vacant Lot,Open,33,4322.5151515151515152,,
2010,MANHATTAN,Adopt-A-Basket,Closed,7,,,1.8571428571428571
2010,MANHATTAN,Collection Truck Noise,Closed,57,,,1.3157894736842105
2010,MANHATTAN,Derelict Bicycle,Closed,33,,,1.8181818181818182
2010,MANHATTAN,Derelict Vehicles,Closed,367,,,1.7792915531335150
2010,MANHATTAN,Dirty Conditions,Closed,4901,,,2.7047541318098347
2010,MANHATTAN,Graffiti,Closed,5814,,,63.0677674578603371
2010,MANHATTAN,Graffiti,Open,142,4326.5422535211267606,1788.1250000000000000,
2010,MANHATTAN,Litter Basket Complaint,Closed,511,,,1.2367906066536204
2010,MANHATTAN,Missed Collection,Closed,1300,,,0.74692307692307692308
2010,MANHATTAN,Other Enforcement,Closed,1294,,,1.6421947449768161
2010,MANHATTAN,Overflowing Litter Baskets,Closed,262,,,0.89312977099236641221
