year,complaint_type,count,avg,avg,avg
2010,Adopt-A-Basket,36,,,2.3611111111111111
2010,Collection Truck Noise,146,,,1.4178082191780822
2010,Derelict Bicycle,88,,,1.7500000000000000
2010,Derelict Vehicles,10849,,,1.77260577011706148032
2010,Dirty Conditions,35457,,,3.8160870914064924
2010,Graffiti,20126,4316.4639498432601881,2336.0444444444444444,78.2201354679802956
2010,Litter Basket Complaint,2551,,,1.6487651901215210
2010,Missed Collection,16309,,,1.4113066405052425
2010,Other Enforcement,4860,,,3.0495884773662551
2010,Overflowing Litter Baskets,1503,,,1.0658682634730539
2010,Recycling Enforcement,1289,,,5.4003103180760279
2010,Sanitation Condition,28090,,,1.3373798504805981
2010,snow,12024,,,3.0851630073186959
2010,Sweeping Complaint,1200,,,1.2058333333333333
2010,Vacant Lot,2047,4332.0000000000000000,,21.6898477157360406
2011,Adopt-A-Basket,25,,,2.8400000000000000
2011,Collection Truck Noise,125,,,1.8480000000000000
2011,Derelict Bicycle,409,,,2.3496332518337408
2011,Derelict Vehicles,10573,3939.6666666666666667,,2.0871333964049196
2011,Dirty Conditions,36926,3872.0000000000000000,,10.1269871360866622
2011,Graffiti,15754,3944.6603107344632768,3633.6000000000000000,55.6725484725903194
2011,Litter Basket Complaint,3124,3914.0000000000000000,,2.0931796349663785
2011,Missed Collection,18922,,,1.9086777296268893
2011,Other Enforcement,4368,3910.0000000000000000,,4.4343943210441951
2011,Overflowing Litter Baskets,1356,,,1.4564896755162242
2011,Recycling Enforcement,973,,,17.0061664953751285
2011,Sanitation Condition,24563,3792.0000000000000000,,1.8360475531308525
2011,snow,12123,,,6.0401715746927328
2011,Sweeping Complaint,1755,,,1.7219373219373219
2011,Vacant Lot,1957,3998.8709677419354839,,21.3001038421599169
2012,Adopt-A-Basket,41,,,3.0243902439024390
2012,Collection Truck Noise,175,,,1.5657142857142857
2012,Derelict Bicycle,815,,,1.8625766871165644
2012,Derelict Vehicles,10377,,,1.54977353763129999036
2012,Dirty Conditions,33661,3426.0000000000000000,,5.0862448009506833
2012,Graffiti,15779,3577.6949078138718174,3468.1709956709956710,57.9980001481371750
2012,Litter Basket Complaint,2382,3725.0000000000000000,,1.7601847963040739
2012,Missed Collection,13488,,,1.42682384341637010676
2012,Other Enforcement,4483,,,3.0095917912112425
2012,Overflowing Litter Baskets,1164,,,1.1486254295532646
2012,Recycling Enforcement,934,,,5.1477516059957173
2012,Sanitation Condition,24451,3592.0000000000000000,,1.4887525562372188
2012,snow,567,,,3.0564373897707231
2012,Standpipe - Mechanical,6,,,3.5000000000000000
2012,Sweeping Complaint,1337,,,1.6716529543754675
2012,Vacant Lot,2277,3585.8461538461538462,,32.4765901060070671
2013,Adopt-A-Basket,53,,,2.4716981132075472
2013,Collection Truck Noise,137,,,1.3941605839416058
2013,Derelict Bicycle,771,,,1.8171206225680934
2013,Derelict Vehicles,11782,,,1.29918519775929383806
2013,Dirty Conditions,33227,,,5.5970144761790110
2013,Graffiti,13262,3246.5763111373011196,2909.8000000000000000,107.9835711197578902
2013,Litter Basket Complaint,2687,3155.0000000000000000,,1.5826507818317200
2013,Missed Collection,16608,3150.8000000000000000,,1.5716436788532193
2013,Other Enforcement,5171,3141.0000000000000000,,4.0234042553191489
2013,Overflowing Litter Baskets,1225,,,1.2604081632653061
2013,Recycling Enforcement,835,,,6.1520958083832335
2013,Sanitation Condition,24888,3139.7500000000000000,,1.4936907249638322
2013,snow,2475,,,2.0501010101010101
2013,Sweeping Complaint,1443,,,1.7720027720027720
2013,Vacant Lot,2461,3167.0666666666666667,,33.8609975470155356
2014,Adopt-A-Basket,33,,,2.5454545454545455
2014,Collection Truck Noise,186,,,1.3870967741935484
2014,Derelict Bicycle,1212,2790.6227544910179641,,2.3473684210526316
2014,Derelict Vehicles,12631,,,1.14789011163011638033
2014,Dirty Conditions,32630,2825.5882352941176471,,4.1691350075123417
2014,Graffiti,15889,2863.2845070422535211,2766.6438356164383562,118.9158991072693779
2014,Litter Basket Complaint,2915,2786.9182795698924731,,1.6110204081632653
2014,Missed Collection,21589,2778.4385964912280702,,1.6981237228311351
2014,Other Enforcement,5558,2797.0625000000000000,,2.9776254059906171
2014,Overflowing Litter Baskets,1087,2780.5000000000000000,,1.3179723502304147
2014,Overflowing Recycling Baskets,55,,,3.3818181818181818
2014,Recycling Enforcement,789,,,5.4321926489226869
2014,Request Xmas Tree Collection,674,,,1.4109792284866469
2014,Sanitation Condition,27149,2796.4444444444444444,,1.4834581197211670
2014,snow,14764,,,5.3610810078569493
2014,Sweeping Complaint,2041,2738.2000000000000000,,1.9787759131293189
2014,Vacant Lot,2048,2810.3571428571428571,,66.9376237623762376
2015,Adopt-A-Basket,61,,,3.1147540983606557
2015,Collection Truck Noise,193,,,1.2849740932642487
2015,Derelict Bicycle,1281,2515.4019933554817276,,3.8377551020408163
2015,Derelict Vehicles,18956,,,1.1380037982696771
2015,Dirty Conditions,34398,2503.5000000000000000,,3.9046123422323038
2015,Foam Ban Enforcement,16,,,10.7500000000000000
2015,Graffiti,13560,2498.8722093918398768,2395.0270833333333333,91.6618546611206264
2015,Litter Basket Complaint,2616,2502.6263414634146341,,-24.6687617850408548
2015,Missed Collection,25282,2515.8167701863354037,,0.20865384615384615385
2015,Other Enforcement,6495,2506.6000000000000000,,2.8066255778120185
2015,Overflowing Litter Baskets,1563,2500.9666666666666667,,1.2635355512067841
2015,Overflowing Recycling Baskets,38,,,1.3947368421052632
2015,Recycling Enforcement,985,2594.0000000000000000,,3.5630081300813008
2015,Sanitation Condition,32460,2482.8988764044943820,,1.6477093694973896
2015,snow,13002,2623.0000000000000000,,3.9991539112375971
2015,Sweeping Complaint,1774,2524.1250000000000000,,2.1451233842538190
2015,Vacant Lot,2028,2569.5000000000000000,,36.8674280039721946
2016,Adopt-A-Basket,145,,,2.6620689655172414
2016,Collection Truck Noise,204,2031.0000000000000000,,-0.33333333333333333333
2016,Derelict Bicycle,1768,,,3.7714932126696833
2016,Derelict Vehicles,28101,,,1.3410554784527241
2016,Dirty Conditions,33942,2031.0000000000000000,,3.3863180853572271
2016,Electronics Waste,3549,1995.8000000000000000,,8.5366817155756208
2016,Graffiti,12498,2121.4307524536532170,1985.0298013245033113,128.1918659873931439
2016,Litter Basket Complaint,2667,2043.2857142857142857,,1.3755639097744361
2016,Missed Collection,30262,2030.5833333333333333,,2.0087446174229877
2016,Other Enforcement,7212,2030.4642857142857143,,3.0915924276169265
2016,Overflowing Litter Baskets,1145,,,1.2925764192139738
2016,Overflowing Recycling Baskets,32,,,0.96875000000000000000
2016,Recycling Enforcement,649,,,4.8027734976887519
2016,Request Xmas Tree Collection,3,,,1.3333333333333333
2016,Sanitation Condition,34978,2033.9268292682926829,,1.5649597847554169
2016,snow,5485,,,4.7928896991795807
2016,Sweeping Complaint,995,2030.3000000000000000,,0.61435897435897435897
2016,Vacant Lot,2161,2149.0000000000000000,,24.8525730180806676
2017,Adopt-A-Basket,137,1617.0000000000000000,,3.4044117647058824
2017,Collection Truck Noise,236,1646.0000000000000000,,-4.2096069868995633
2017,Derelict Bicycle,1952,,,4.6798155737704918
2017,Derelict Vehicles,33572,,,1.3086500655307995
2017,Dirty Conditions,35887,1646.0000000000000000,,3.1849880149395173
2017,Electronics Waste,13574,1715.5000000000000000,,6.6416359616801769
2017,Graffiti,19230,1747.4067515218594355,1766.0909090909090909,124.7447052746369741
2017,Litter Basket Complaint,2943,1646.0000000000000000,,1.6388699795779442
2017,Missed Collection,36260,1645.5652173913043478,,2.2765328396562681
2017,Other Enforcement,7991,1648.6666666666666667,,3.7079834565735055
2017,Overflowing Litter Baskets,1085,1704.0000000000000000,,1.3404059040590406
