year,complaint_type,status_cal,count,avg,avg,avg
2010,Adopt-A-Basket,Closed,36,,,2.3611111111111111
2010,Collection Truck Noise,Closed,146,,,1.4178082191780822
2010,Derelict Bicycle,Closed,88,,,1.7500000000000000
2010,Derelict Vehicles,Closed,10849,,,1.77260577011706148032
2010,Dirty Conditions,Closed,35457,,,3.8160870914064924
2010,Graffiti,Closed,19488,,,78.2201354679802956
2010,Graffiti,Open,638,4316.4639498432601881,2336.0444444444444444,
2010,Litter Basket Complaint,Closed,2551,,,1.6487651901215210
2010,Missed Collection,Closed,16309,,,1.4113066405052425
2010,Other Enforcement,Closed,4860,,,3.0495884773662551
2010,Overflowing Litter Baskets,Closed,1503,,,1.0658682634730539
2010,Recycling Enforcement,Closed,1289,,,5.4003103180760279
2010,Sanitation Condition,Closed,28090,,,1.3373798504805981
2010,snow,Closed,12024,,,3.0851630073186959
2010,Sweeping Complaint,Closed,1200,,,1.2058333333333333
2010,Vacant Lot,Closed,1970,,,21.6898477157360406
2010,Vacant Lot,Open,77,4332.0000000000000000,,
2011,Adopt-A-Basket,Closed,25,,,2.8400000000000000
2011,Collection Truck Noise,Closed,125,,,1.8480000000000000
2011,Derelict Bicycle,Closed,409,,,2.3496332518337408
2011,Derelict Vehicles,Closed,10570,,,2.0871333964049196
2011,Derelict Vehicles,Open,3,3939.6666666666666667,,
2011,Dirty Conditions,Closed,36925,,,10.1269871360866622
2011,Dirty Conditions,Open,1,3872.0000000000000000,,
2011,Graffiti,Closed,14338,,,55.6725484725903194
2011,Graffiti,Open,1416,3944.6603107344632768,3633.6000000000000000,
2011,Litter Basket Complaint,Closed,3123,,,2.0931796349663785
2011,Litter Basket Complaint,Open,1,3914.0000000000000000,,
2011,Missed Collection,Closed,18922,,,1.9086777296268893
2011,Other Enforcement,Closed,4367,,,4.4343943210441951
2011,Other Enforcement,Open,1,3910.0000000000000000,,
2011,Overflowing Litter Baskets,Closed,1356,,,1.4564896755162242
2011,Recycling Enforcement,Closed,973,,,17.0061664953751285
2011,Sanitation Condition,Closed,24562,,,1.8360475531308525
2011,Sanitation Condition,Open,1,3792.0000000000000000,,
2011,snow,Closed,12123,,,6.0401715746927328
2011,Sweeping Complaint,Closed,1755,,,1.7219373219373219
2011,Vacant Lot,Closed,1926,,,21.3001038421599169
2011,Vacant Lot,Open,31,3998.8709677419354839,,
2012,Adopt-A-Basket,Closed,41,,,3.0243902439024390
2012,Collection Truck Noise,Closed,175,,,1.5657142857142857
2012,Derelict Bicycle,Closed,815,,,1.8625766871165644
2012,Derelict Vehicles,Closed,10377,,,1.54977353763129999036
2012,Dirty Conditions,Closed,33660,,,5.0862448009506833
2012,Dirty Conditions,Open,1,3426.0000000000000000,,
2012,Graffiti,Closed,13501,,,57.9980001481371750
2012,Graffiti,Open,2278,3577.6949078138718174,3468.1709956709956710,
2012,Litter Basket Complaint,Closed,2381,,,1.7601847963040739
2012,Litter Basket Complaint,Open,1,3725.0000000000000000,,
2012,Missed Collection,Closed,13488,,,1.42682384341637010676
2012,Other Enforcement,Closed,4483,,,3.0095917912112425
2012,Overflowing Litter Baskets,Closed,1164,,,1.1486254295532646
