year,quarter,complaint_type_cal,count,avg,avg,avg
2010,1,Derelict Vehicles,2754,,,1.933914306
2010,1,Dirty Conditions,7893,,,4.19118206
2010,1,Graffiti,5093,4460.876543,2420.642857,97.53032721
2010,1,Litter Basket Complaint,506,,,1.575098814
2010,1,Missed Collection,5157,,,1.325770797
2010,1,Other,66,,,0.984848485
2010,1,Other Enforcement,998,,,3.147294589
2010,1,Overflowing Litter Baskets,325,,,1.006153846
2010,1,Recycling Enforcement,319,,,5.833855799
2010,1,Sanitation Condition,5877,,,1.265101242
2010,1,snow,9376,,,1.972162969
2010,1,Sweeping Complaint,260,,,1.153846154
2010,1,Vacant Lot,380,4453.875,,22.5989011
2010,2,Derelict Vehicles,2864,,,1.541201117
2010,2,Dirty Conditions,9903,,,3.483691811
2010,2,Graffiti,6930,4369.457627,1164,75.58418481
2010,2,Litter Basket Complaint,858,,,1.687645688
2010,2,Missed Collection,3749,,,1.336623099
2010,2,Other,37,,,1.648648649
2010,2,Other Enforcement,1459,,,2.825908156
2010,2,Overflowing Litter Baskets,469,,,1.0554371
2010,2,Recycling Enforcement,377,,,5.082228117
2010,2,Sanitation Condition,8002,,,1.269432642
2010,2,snow,1,,,3
2010,2,Sweeping Complaint,249,,,1.228915663
2010,2,Vacant Lot,738,4372.32,,22.51192146
2010,3,Derelict Vehicles,2947,,,1.646420088
2010,3,Dirty Conditions,10702,,,3.561951037
2010,3,Graffiti,4690,4292.996063,2666.6,55.45852119
2010,3,Litter Basket Complaint,735,,,1.542857143
2010,3,Missed Collection,3611,,,1.343672113
2010,3,Other,41,,,1.487804878
2010,3,Other Enforcement,1420,,,2.86971831
2010,3,Overflowing Litter Baskets,443,,,1.072234763
2010,3,Recycling Enforcement,340,,,5.723529412
2010,3,Sanitation Condition,8634,,,1.311906416
2010,3,snow,2,,,2.5
2010,3,Sweeping Complaint,300,,,1.163333333
2010,3,Vacant Lot,653,4282.285714,,17.36392405
2010,4,Derelict Bicycle,88,,,1.75
2010,4,Derelict Vehicles,2284,,,2.031085814
2010,4,Dirty Conditions,6959,,,4.254490588
2010,4,Graffiti,3413,4196.492063,3176.3,84.90964405
2010,4,Litter Basket Complaint,452,,,1.829646018
2010,4,Missed Collection,3792,,,1.665875527
2010,4,Other,38,,,2.763157895
2010,4,Other Enforcement,983,,,3.542217701
2010,4,Overflowing Litter Baskets,266,,,1.146616541
2010,4,Recycling Enforcement,253,,,4.893280632
2010,4,Sanitation Condition,5577,,,1.550475166
2010,4,snow,2645,,,7.03100189
2010,4,Sweeping Complaint,391,,,1.25831202
2010,4,Vacant Lot,276,4204.4,,28.651341
2011,1,Derelict Bicycle,63,,,2.80952381
2011,1,Derelict Vehicles,2833,,,3.134133427
2011,1,Dirty Conditions,8403,,,7.54302035
2011,1,Graffiti,3040,4095.773279,2575.285714,88.13712854
2011,1,Litter Basket Complaint,468,,,2.091880342
2011,1,Missed Collection,4463,,,2.148778848
2011,1,Other,55,,,2.290909091
2011,1,Other Enforcement,977,,,5.069600819
2011,1,Overflowing Litter Baskets,205,,,1.853658537
2011,1,Recycling Enforcement,279,,,11.76344086
2011,1,Sanitation Condition,4473,,,2.15135256
2011,1,snow,12074,,,6.058472751
2011,1,Sweeping Complaint,244,,,1.618852459
2011,1,Vacant Lot,274,4076.666667,,16.1221374
2011,2,Derelict Bicycle,159,,,2.213836478
2011,2,Derelict Vehicles,2825,3989,,1.761685552
2011,2,Dirty Conditions,10013,,,4.766803156
2011,2,Graffiti,4697,4013.65616,3593.352941,48.24126035
2011,2,Litter Basket Complaint,926,,,1.910367171
2011,2,Missed Collection,4873,,,1.861276421
2011,2,Other,18,,,1.833333333
2011,2,Other Enforcement,1188,,,3.445286195
2011,2,Overflowing Litter Baskets,411,,,1.457420925
2011,2,Recycling Enforcement,211,,,12.57345972
2011,2,Sanitation Condition,6716,,,1.699523526
2011,2,snow,2,,,4
2011,2,Sweeping Complaint,270,,,1.996296296
2011,2,Vacant Lot,655,3992.4,,19.45891473
2011,3,Derelict Bicycle,97,,,2.237113402
2011,3,Derelict Vehicles,2675,3915,,1.917695473
2011,3,Dirty Conditions,10279,3872,,17.49941623
2011,3,Graffiti,4351,3909.678815,3795.909091,46.3803681
2011,3,Litter Basket Complaint,1052,3914,,2.098001903
2011,3,Missed Collection,4554,,,1.897891963
2011,3,Other,27,,,2.851851852
2011,3,Other Enforcement,1244,3910,,3.925985519
2011,3,Overflowing Litter Baskets,488,,,1.383196721
2011,3,Recycling Enforcement,260,,,26.63461538
2011,3,Sanitation Condition,7757,,,1.962485497
2011,3,snow,2,,,8.5
2011,3,Sweeping Complaint,379,,,1.82585752
2011,3,Vacant Lot,686,3914.75,,21.92330383
2011,4,Derelict Bicycle,90,,,2.388888889
2011,4,Derelict Vehicles,2240,,,1.375446429
2011,4,Dirty Conditions,8231,,,10.0796987
2011,4,Graffiti,3666,3823.800525,3623.895349,48.97199391
2011,4,Litter Basket Complaint,678,,,2.336283186
2011,4,Missed Collection,5032,,,1.751391097
2011,4,Other,50,,,1.32
2011,4,Other Enforcement,959,,,5.671532847
2011,4,Overflowing Litter Baskets,252,,,1.273809524
2011,4,Recycling Enforcement,223,,,16.53363229
2011,4,Sanitation Condition,5617,3792,,1.573539886
2011,4,snow,45,,,1.111111111
2011,4,Sweeping Complaint,862,,,1.619489559
2011,4,Vacant Lot,342,3803,,27.52199413
2012,1,Derelict Bicycle,123,,,1.617886179
2012,1,Derelict Vehicles,2196,,,1.156648452
2012,1,Dirty Conditions,7618,,,4.432396955
2012,1,Graffiti,2758,3720.676829,3654.507937,36.25432099
2012,1,Litter Basket Complaint,525,3725,,1.599236641
2012,1,Missed Collection,4353,,,1.249023662
2012,1,Other,75,,,1.186666667
2012,1,Other Enforcement,1014,,,3.017751479
2012,1,Overflowing Litter Baskets,132,,,0.962121212
2012,1,Recycling Enforcement,269,,,5.003717472
2012,1,Sanitation Condition,5022,,,1.065511748
2012,1,snow,492,,,2.932926829
2012,1,Sweeping Complaint,183,,,1.573770492
2012,1,Vacant Lot,349,3727.5,,33.71757925
2012,2,Derelict Bicycle,363,,,1.914600551
2012,2,Derelict Vehicles,2377,,,1.251577619
2012,2,Dirty Conditions,8422,,,4.313108525
2012,2,Graffiti,5037,3638.4,3507.973451,44.26751735
2012,2,Litter Basket Complaint,612,,,1.62254902
2012,2,Missed Collection,3886,,,1.455738549
2012,2,Other,72,,,1.805555556
2012,2,Other Enforcement,1280,,,2.7390625
2012,2,Overflowing Litter Baskets,363,,,1.121212121
2012,2,Recycling Enforcement,209,,,4.842105263
2012,2,Sanitation Condition,6524,,,1.368332311
2012,2,Sweeping Complaint,299,,,1.334448161
2012,2,Vacant Lot,700,3611.25,,27.03017241
2012,3,Derelict Bicycle,205,,,1.804878049
2012,3,Derelict Vehicles,2725,,,1.336513761
2012,3,Dirty Conditions,10823,,,4.538298069
2012,3,Graffiti,4793,3550.379085,3429.380753,51.85032258
2012,3,Litter Basket Complaint,825,,,1.775757576
2012,3,Missed Collection,4036,,,1.524033697
2012,3,Other,23,,,2.52173913
2012,3,Other Enforcement,1295,,,2.820849421
2012,3,Overflowing Litter Baskets,476,,,1.117647059
2012,3,Recycling Enforcement,248,,,5.25
2012,3,Sanitation Condition,8134,3592,,1.53325956
2012,3,Sweeping Complaint,367,,,1.550408719
2012,3,Vacant Lot,907,3547.8,,31.53769401
2012,4,Derelict Bicycle,124,,,2.048387097
2012,4,Derelict Vehicles,3079,,,2.249106853
2012,4,Dirty Conditions,6798,3426,,7.649551273
2012,4,Graffiti,3191,3455.564935,3319.957447,108.5635764
2012,4,Litter Basket Complaint,420,,,2.130952381
2012,4,Missed Collection,1213,,,1.648804617
2012,4,Other,52,,,2.730769231
2012,4,Other Enforcement,894,,,3.661073826
2012,4,Overflowing Litter Baskets,193,,,1.404145078
2012,4,Recycling Enforcement,208,,,5.519230769
2012,4,Sanitation Condition,4771,,,2.023055963
2012,4,snow,75,,,3.866666667
2012,4,Sweeping Complaint,488,,,2.006147541
2012,4,Vacant Lot,321,3488.5,,45.6645768
2013,1,Derelict Bicycle,156,,,2.051282051
2013,1,Derelict Vehicles,3195,,,1.417840376
2013,1,Dirty Conditions,7945,,,5.097042165
2013,1,Graffiti,4745,3359.146141,2971.5,110.6472437
2013,1,Litter Basket Complaint,517,,,1.740812379
2013,1,Missed Collection,4554,,,1.566534914
2013,1,Other,66,,,1.590909091
2013,1,Other Enforcement,1000,,,3.701
2013,1,Overflowing Litter Baskets,127,,,1.078740157
2013,1,Recycling Enforcement,185,,,5.27027027
2013,1,Sanitation Condition,4544,,,1.469410211
2013,1,snow,1512,,,1.923280423
2013,1,Sweeping Complaint,177,,,2.11299435
2013,1,Vacant Lot,405,,,31.27901235
2013,2,Derelict Bicycle,204,,,1.823529412
2013,2,Derelict Vehicles,3221,,,1.332194971
2013,2,Dirty Conditions,8424,,,6.733024691
2013,2,Graffiti,2695,3283.359773,3212.037736,85.10546541
2013,2,Litter Basket Complaint,690,,,1.557971014
2013,2,Missed Collection,4354,3244,,1.513898461
2013,2,Other,41,,,1.87804878
2013,2,Other Enforcement,1558,,,4.833119384
2013,2,Overflowing Litter Baskets,356,,,1.320224719
2013,2,Recycling Enforcement,222,,,7.788288288
2013,2,Sanitation Condition,6762,,,1.493640935
2013,2,Sweeping Complaint,331,,,1.583081571
2013,2,Vacant Lot,742,3256.75,,34.59485095
2013,3,Derelict Bicycle,187,,,1.465240642
2013,3,Derelict Vehicles,3008,,,1.230053191
2013,3,Dirty Conditions,8797,,,4.330453564
2013,3,Graffiti,2630,3189.282738,2551.454545,76.5418483
2013,3,Litter Basket Complaint,900,3155,,1.446051168
2013,3,Missed Collection,3811,3160.5,,1.506957207
2013,3,Other,44,,,1.681818182
2013,3,Other Enforcement,1519,3141,,3.656126482
2013,3,Overflowing Litter Baskets,464,,,1.25
2013,3,Recycling Enforcement,263,,,5.482889734
2013,3,Sanitation Condition,8277,3166.5,,1.53510574
2013,3,snow,3,,,1.333333333
2013,3,Sweeping Complaint,378,,,1.637566138
2013,3,Vacant Lot,993,3175.833333,,30.08611955
2013,4,Derelict Bicycle,224,,,1.941964286
2013,4,Derelict Vehicles,2358,,,1.181509754
2013,4,Dirty Conditions,8061,,,6.284828185
2013,4,Graffiti,3192,3090.463659,2658.518519,149.047261
2013,4,Litter Basket Complaint,580,,,1.682758621
2013,4,Missed Collection,3889,3094.5,,1.705685619
2013,4,Other,39,,,1.692307692
2013,4,Other Enforcement,1094,,,3.674588665
2013,4,Overflowing Litter Baskets,278,,,1.284172662
2013,4,Recycling Enforcement,165,,,6.006060606
2013,4,Sanitation Condition,5305,3113,,1.449934
2013,4,snow,960,,,2.252083333
2013,4,Sweeping Complaint,557,,,1.867145422
2013,4,Vacant Lot,321,3084.8,,47.24683544
2014,1,Derelict Bicycle,215,,,1.986046512
2014,1,Derelict Vehicles,2680,,,1.213432836
2014,1,Dirty Conditions,6723,,,8.653726015
2014,1,Graffiti,4499,2995.912037,2917.809524,131.7172363
2014,1,Litter Basket Complaint,563,,,1.646536412
2014,1,Missed Collection,5706,,,1.918506835
2014,1,Other,768,,,1.563802083
2014,1,Other Enforcement,1035,,,6.071497585
2014,1,Overflowing Litter Baskets,145,,,1.682758621
2014,1,Recycling Enforcement,201,,,11.10945274
2014,1,Sanitation Condition,4444,,,1.627587759
2014,1,snow,14602,,,5.410491713
2014,1,Sweeping Complaint,314,,,1.76433121
2014,1,Vacant Lot,224,3036,,51.3632287
