year,month,complaint_type_cal,sum,count
2020,1,Derelict Vehicles,2956,3011
2020,1,Dirty Conditions,1946,2018
2020,1,Graffiti,8,1965
2020,1,Missed Collection,3785,3955
2020,1,Other,405,427
2020,1,snow,187,189
2020,2,Derelict Vehicles,2677,2705
2020,2,Dirty Conditions,1958,2044
2020,2,Graffiti,0,933
2020,2,Missed Collection,3011,3109
2020,2,Other,401,429
2020,2,snow,36,37
2020,3,Derelict Vehicles,2028,2046
2020,3,Dirty Conditions,1511,1583
2020,3,Graffiti,0,599
2020,3,Missed Collection,2516,2591
2020,3,Other,363,375
2020,3,snow,4,4
2020,4,Derelict Vehicles,1056,1063
2020,4,Dirty Conditions,1275,1322
2020,4,Graffiti,0,419
2020,4,Missed Collection,1,1
2020,4,Other,248,260
2020,5,Derelict Vehicles,1625,1633
2020,5,Dirty Conditions,1668,2225
2020,5,Graffiti,0,361
2020,5,Other,289,326
2020,6,Derelict Vehicles,2153,2179
2020,6,Dirty Conditions,149,2658
2020,6,Graffiti,0,216
2020,6,Missed Collection,4365,4559
2020,6,Other,355,504
2020,7,Derelict Vehicles,2673,2721
2020,7,Dirty Conditions,311,3225
2020,7,Graffiti,0,153
2020,7,Missed Collection,5372,5760
2020,7,Other,413,591
2020,8,Derelict Vehicles,3388,3475
2020,8,Dirty Conditions,579,3471
2020,8,Graffiti,0,9
2020,8,Missed Collection,4915,5195
2020,8,Other,467,596
2020,9,Derelict Vehicles,3442,3509
2020,9,Dirty Conditions,1353,3361
2020,9,Graffiti,0,2
2020,9,Missed Collection,4340,4628
2020,9,Other,451,577
2020,10,Derelict Vehicles,3344,3362
2020,10,Dirty Conditions,1693,2460
2020,10,Graffiti,0,2
2020,10,Missed Collection,4068,4312
2020,10,Other,471,566
2020,10,snow,4,4
2020,11,Derelict Vehicles,2888,3006
2020,11,Dirty Conditions,1608,1746
2020,11,Graffiti,0,6
2020,11,Missed Collection,3502,3900
2020,11,Other,412,475
2020,11,snow,5,5
2020,12,Derelict Vehicles,2324,2455
2020,12,Dirty Conditions,1381,1734
2020,12,Graffiti,0,3
2020,12,Missed Collection,2525,3226
2020,12,Other,358,446
2020,12,snow,2339,3716
2021,1,Derelict Vehicles,3087,3240
2021,1,Dirty Conditions,1873,2306
2021,1,Graffiti,0,1
2021,1,Missed Collection,3589,4234
2021,1,Other,376,517
2021,1,snow,107,119
2021,2,Derelict Vehicles,1499,1615
2021,2,Dirty Conditions,1173,1498
2021,2,Graffiti,0,1
2021,2,Missed Collection,426,497
2021,2,Other,258,311
2021,2,snow,3708,7989
2021,3,Derelict Vehicles,3919,3984
2021,3,Dirty Conditions,3692,4169
2021,3,Graffiti,0,3
2021,3,Missed Collection,8529,8754
2021,3,Other,507,588
2021,3,snow,64,65
2021,4,Derelict Vehicles,3481,3546
2021,4,Dirty Conditions,3018,3233
2021,4,Graffiti,0,5
2021,4,Missed Collection,4209,4306
2021,4,Other,601,671
2021,5,Derelict Vehicles,3598,3637
2021,5,Dirty Conditions,3479,3649
2021,5,Graffiti,0,84
2021,5,Missed Collection,4261,4556
2021,5,Other,642,726
2021,6,Derelict Vehicles,3732,3761
2021,6,Dirty Conditions,4099,4548
2021,6,Graffiti,0,315
2021,6,Missed Collection,4778,4990
2021,6,Other,638,717
2021,7,Derelict Vehicles,3963,4015
2021,7,Dirty Conditions,4051,4803
2021,7,Graffiti,0,365
2021,7,Missed Collection,5093,5937
2021,7,Other,632,741
2021,8,Derelict Vehicles,3892,3987
2021,8,Dirty Conditions,4873,5275
2021,8,Graffiti,0,856
2021,8,Missed Collection,4427,4666
2021,8,Other,525,609
2021,9,Dead Animal,144,257
2021,9,Derelict Vehicles,4059,4164
2021,9,Dirty Conditions,4219,5288
2021,9,Graffiti,0,750
2021,9,Illegal Dumping,239,581
2021,9,Missed Collection,4971,5991
2021,9,Obstruction,98,233
2021,9,Other,3465,3963
2021,9,Residential Disposal Complaint,145,218
2021,9,snow,1,1
2021,10,Dead Animal,825,1109
2021,10,Derelict Vehicles,3907,4213
2021,10,Dirty Conditions,3400,5013
2021,10,Graffiti,0,495
2021,10,Illegal Dumping,994,1924
2021,10,Missed Collection,12361,19922
2021,10,Obstruction,315,608
2021,10,Other,1011,2321
2021,10,Residential Disposal Complaint,627,872
2021,10,snow,1,1
2021,11,Dead Animal,551,745
2021,11,Derelict Vehicles,3062,3342
2021,11,Dirty Conditions,2592,3052
2021,11,Graffiti,0,637
2021,11,Illegal Dumping,1044,1860
2021,11,Missed Collection,3173,5884
2021,11,Obstruction,193,299
2021,11,Other,768,1539
2021,11,Residential Disposal Complaint,535,621
2021,11,snow,7,11
2021,12,Dead Animal,519,643
2021,12,Derelict Vehicles,3133,3336
2021,12,Dirty Conditions,2421,2782
2021,12,Graffiti,0,874
2021,12,Illegal Dumping,1264,1776
2021,12,Missed Collection,3640,5585
