year,month,sum,count
2020,1,9287,11565
2020,2,8083,9257
2020,3,6422,7198
2020,4,2580,3065
2020,5,3582,4545
2020,6,7022,10116
2020,7,8769,12450
2020,8,9349,12746
2020,9,9586,12077
2020,10,9580,10706
2020,11,8415,9138
2020,12,8927,11580
2021,1,9032,10417
2021,2,7064,11911
2021,3,16711,17563
2021,4,11309,11761
2021,5,11980,12652
2021,6,13247,14331
2021,7,13739,15861
2021,8,13717,15393
2021,9,17341,21446
2021,10,23441,36478
2021,11,11925,17990
2021,12,12738,17635
2022,1,13435,18050
2022,2,12127,18535
2022,3,15738,20392
2022,4,13022,17586
2022,5,177,1170
