,ID,DateRun,AvgAge,HEX_OID
0,21609,8/10/2016,60.792,1
1,21610,8/10/2016,70.38,2
2,21611,8/10/2016,71.17333333,3
3,21612,8/10/2016,25.16,4
4,21613,8/10/2016,47.09,6
5,21614,8/10/2016,12.92,8
6,21615,8/10/2016,57.12,12
7,21616,8/10/2016,121.72,13
8,21617,8/10/2016,12.92,19
9,21618,8/10/2016,16.32,20
10,21619,8/10/2016,4.76,21
11,21620,8/10/2016,38.59,23
12,21621,8/10/2016,68.0,24
13,21622,8/10/2016,53.04,26
14,21623,8/10/2016,173.264,27
15,21624,8/10/2016,70.72,28
16,21625,8/10/2016,75.48,29
17,21626,8/10/2016,63.82285714,30
18,21627,8/10/2016,123.93,31
19,21628,8/10/2016,0.68,32
20,21629,8/10/2016,104.584,33
21,21630,8/10/2016,134.8342857,35
22,21631,8/10/2016,23.12,39
23,21632,8/10/2016,59.30315789,41
24,21633,8/10/2016,120.36,42
25,21634,8/10/2016,121.72,43
26,21635,8/10/2016,65.96,45
27,21636,8/10/2016,81.14666667,46
28,21637,8/10/2016,74.12,49
29,21638,8/10/2016,158.1,50
30,21639,8/10/2016,99.08571429,52
31,21640,8/10/2016,15.64,58
32,21641,8/10/2016,74.63,59
33,21642,8/10/2016,97.34461538,60
34,21643,8/10/2016,68.0,63
35,21644,8/10/2016,91.12,64
36,21645,8/10/2016,104.4933333,67
37,21646,8/10/2016,223.04,68
38,21647,8/10/2016,99.80888889,69
39,21648,8/10/2016,131.75,70
40,21649,8/10/2016,125.5085714,71
41,21650,8/10/2016,6.46,72
42,21651,8/10/2016,12.92,73
43,21652,8/10/2016,143.7066667,75
44,21653,8/10/2016,113.56,81
45,21654,8/10/2016,61.65333333,82
46,21655,8/10/2016,42.38666667,83
47,21656,8/10/2016,4.42,87
48,21657,8/10/2016,126.684,92
49,21658,8/10/2016,87.89,95
50,21659,8/10/2016,59.76842105,96
51,21660,8/10/2016,143.888,97
52,21661,8/10/2016,205.1333333,98
53,21662,8/10/2016,104.72,101
54,21663,8/10/2016,41.48,102
55,21664,8/10/2016,46.8112,103
56,21665,8/10/2016,198.9,104
57,21666,8/10/2016,133.96,105
58,21667,8/10/2016,160.82,106
59,21668,8/10/2016,53.72,108
60,21669,8/10/2016,2.04,112
61,21670,8/10/2016,94.86,114
62,21671,8/10/2016,53.21,116
63,21672,8/10/2016,114.24,117
64,21673,8/10/2016,134.98,119
65,21674,8/10/2016,40.8,124
66,21675,8/10/2016,148.0133333,125
67,21676,8/10/2016,49.35368421,126
68,21677,8/10/2016,61.42666667,127
69,21678,8/10/2016,116.28,128
70,21679,8/10/2016,96.9,129
71,21680,8/10/2016,95.88,130
72,21681,8/10/2016,84.745,131
73,21682,8/10/2016,103.8457143,132
74,21683,8/10/2016,81.77,133
75,21684,8/10/2016,8.84,135
76,21685,8/10/2016,3.4,136
77,21686,8/10/2016,83.98,137
78,21687,8/10/2016,24.48,140
79,21688,8/10/2016,145.112,141
80,21689,8/10/2016,191.42,142
81,21690,8/10/2016,116.7333333,143
82,21691,8/10/2016,27.88,145
83,21692,8/10/2016,62.00363636,146
84,21693,8/10/2016,76.704,148
85,21694,8/10/2016,6.12,149
86,21695,8/10/2016,37.62666667,151
87,21696,8/10/2016,126.99,152
88,21697,8/10/2016,74.68666667,153
89,21698,8/10/2016,6.12,154
90,21699,8/10/2016,132.1466667,155
91,21700,8/10/2016,34.0,156
92,21701,8/10/2016,38.60888889,158
93,21702,8/10/2016,42.5,159
94,21703,8/10/2016,50.32,160
95,21704,8/10/2016,25.27333333,163
96,21705,8/10/2016,32.3,164
97,21706,8/10/2016,52.7,165
98,21707,8/10/2016,44.54,166
99,21708,8/10/2016,72.76,167
100,21709,8/10/2016,98.14666667,168
101,21710,8/10/2016,142.12,169
102,21711,8/10/2016,132.77,170
103,21712,8/10/2016,131.6177778,171
104,21713,8/10/2016,18.58666667,172
105,21714,8/10/2016,36.72,178
106,21715,8/10/2016,17.68,180
107,21716,8/10/2016,15.98,181
108,21717,8/10/2016,14.62,182
109,21718,8/10/2016,81.855,183
110,21719,8/10/2016,39.78,185
111,21720,8/10/2016,4.76,188
112,21721,8/10/2016,48.45,189
113,21722,8/10/2016,5.44,191
114,21723,8/10/2016,32.3,192
115,21724,8/10/2016,62.74133333,193
116,21725,8/10/2016,109.82,194
117,21726,8/10/2016,22.78,195
118,21727,8/10/2016,47.6,196
119,21728,8/10/2016,22.44,197
120,21729,8/10/2016,13.6,198
121,21730,8/10/2016,13.6,211
122,21731,8/10/2016,6.12,212
123,21732,8/10/2016,70.04,213
124,21733,8/10/2016,25.16,214
125,21734,8/10/2016,120.8133333,215
