Center Name,Legal Name,Building,Street,Borough,ZipCode,address,status,street,borough,zip,cb,cwz,latitude,longitude,bbl,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,index_age,indextype,index
1199 S E I U / EMPLOYER CHILD CARE CORPORATION,1199 S E I U / EMPLOYER CHILD CARE CORPORATION,2500,CRESTON AVENUE,BRONX,10468,"2500 CRESTON AVENUE,BRONX 10468",OK,2500 CRESTON AVENUE,BRONX,10468,207,BX1,40.862953,-73.897948,2031670001,718-562-2915,7455,7/31/2023,Permitted,2 YEARS - 5 YEARS,119,DC2027,PRESCHOOL,GDC,Child Care - Pre School,2013811,www.childcarecorp.org,7/29/2005,N,75,21.905,17,11.9769,0,6.1285,75,18.9541,5,1,17
1332 FULTON  DAY CARE CENTER,"1332 FULTON AVENUE DAY CARE CENTER, INC.",1332,FULTON AVENUE,BRONX,10456,"1332 FULTON AVENUE,BRONX 10456",OK,1332 FULTON AVENUE,BRONX,10456,203,BX1,40.833147,-73.902814,2029310015,718-378-1330,4055,11/19/2024,Permitted,2 YEARS - 5 YEARS,148,DC11899,PRESCHOOL,GDC,Child Care - Pre School,2009685,1332fultondcc.com,8/16/2004,N,100,21.905,10,11.9769,100,6.1285,0,18.9541,5,1,17
"3467 READY, SET,  LEARN L L C","3467 READY, SET, LEARN, L L C",3463-67,3 AVENUE,BRONX,10456,"3463-67 3 AVENUE,BRONX 10456",OK,3463-67 3 AVENUE,BRONX,10456,203,BX1,40.829837,-73.906407,2023720041,718-665-1234,8178,8/11/2024,Permitted,2 YEARS - 5 YEARS,167,DC20062,PRESCHOOL,GDC,Child Care - Pre School,2098317,www.readysetlearn.nyc,8/11/2010,Y,,,17,11.9769,,,,,5,1,17
4 ANGELS DAY CARE INC.,4 ANGELS DAY CARE INC.,245,SIMONSON AVENUE,STATEN ISLAND,10303,"245 SIMONSON AVENUE,STATEN ISLAND 10303",OK,245 SIMONSON AVENUE,STATEN IS,10303,501,SI1,40.63065,-74.152376,5011760042,718-876-6498,7533,7/5/2023,Permitted,0 YEARS - 2 YEARS,20,DC14404,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,5026928,www.4AngelsDayCareInc.com,7/5/2005,Y,0,17.4391,11,8.4034,0,4.9984,0,15.3835,6,2,34
4 ANGELS DAY CARE INC.,4 ANGELS DAY CARE INC.,245,SIMONSON AVENUE,STATEN ISLAND,10303,"245 SIMONSON AVENUE,STATEN ISLAND 10303",OK,245 SIMONSON AVENUE,STATEN IS,10303,501,SI1,40.63065,-74.152376,5011760042,718-876-6498,7415,7/5/2023,Permitted,2 YEARS - 5 YEARS,21,DC14175,PRESCHOOL,GDC,Child Care - Pre School,5026928,www.4angelsdaycareinc.com,7/5/2005,Y,0,21.905,12,11.9769,0,6.1285,0,18.9541,5,1,17
65TH STREET DAYCARE INC.,65 Street Daycare Inc.,1502,West 1 Street,BROOKLYN,11204,"1502 West 1 Street,BROOKLYN 11204",OK,1502 WEST    1 STREET,BROOKLYN,11204,311,BK4,40.609875,-73.975243,3066057502,917-838-3482,104744,3/18/2025,Permitted,2 YEARS - 5 YEARS,102,DC37501,PRESCHOOL,GDC,Child Care - Pre School,3174624,,3/18/2019,Y,0,21.905,14,11.9769,0,6.1285,0,18.9541,5,1,17
82ND STREET ACADEMICS,82ND STREET  ACADEMICS INC,81-10,35 AVENUE,QUEENS,11372,"81-10 35 AVENUE,QUEENS 11372",OK,81-10 35 AVENUE,QUEENS,11372,403,QN2,40.751703,-73.885406,4012810001,718-457-0429,7006,8/11/2024,Permitted,2 YEARS - 5 YEARS,157,DC1187,PRESCHOOL,GDC,Child Care - Pre School,4029684,www.82ndst.com,7/18/2004,N,0,21.905,59,11.9769,0,6.1285,0,18.9541,5,1,17
92 Y CAMP TRAILBLAZERS,YOUNG MENS & YOUNG WOMENS HEBREW ASSOCIATION,1395,LEXINGTON AVENUE,MANHATTAN,10128,"1395 LEXINGTON AVENUE,MANHATTAN 10128",OK,1395 LEXINGTON AVENUE,MANHATTAN,10128,108,MN6,40.783051,-73.952978,1015200050,212-415-5557,33904,9/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,100,DC23609,ALL AGE CAMP,Camp,Camp,1048310,www.92y.org/camps,6/21/2013,N,0,26.8868,0,1,0,14.2558,0,21.8553,7,3,68
A 2 Z HAPPYLAND,A2Z KIDZ CENTER LLC.,190,EXETER STREET,BROOKLYN,11235,"190 EXETER STREET,BROOKLYN 11235",OK,190 EXETER STREET,BROOKLYN,11235,315,BK5,40.577935,-73.948349,3087360026,718-483-9999,92318,7/7/2023,Permitted,2 YEARS - 5 YEARS,140,DC32674,PRESCHOOL,GDC,Child Care - Pre School,3246120,www.a2zhappyland.com,7/7/2015,Y,14.2857,21.905,19,11.9769,14.2857,6.1285,0,18.9541,5,1,17
"A CASTLE FOR  CLASSY KIDS LEARNING CENTER, INC.","A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570,PITKIN AVENUE,BROOKLYN,11208,"2570 PITKIN AVENUE,BROOKLYN 11208",OK,2570 PITKIN AVENUE,BROOKLYN,11208,305,BK3,40.6746,-73.877427,3040240018,347-750-8154,8171,5/24/2024,Permitted,2 YEARS - 5 YEARS,111,DC17130,PRESCHOOL,GDC,Child Care - Pre School,3336165,,5/24/2010,Y,33.3333,21.905,14,11.9769,33.3333,6.1285,0,18.9541,5,1,17
