FIPS,name,HC01_EST_VC04,HC01_EST_VC05,HC01_MOE_VC05,CD
19,"CD101, Manhattan",10.17,18,0.52,101
29,"CD102, Manhattan",7.14,65,1.89,102
30,"CD103, Manhattan",12.92,36,1.05,103
21,"CD104, Manhattan",17.13,48,1.40,104
13,"CD105, Manhattan",8,21,0.61,105
31,"CD106, Manhattan",4.86,29,0.84,106
20,"CD107, Manhattan",9.39,44,1.28,107
42,"CD108, Manhattan",17.11,19,0.55,108
60,"CD109, Manhattan",6.22,23,0.67,109
70,"CD110, Manhattan",17.1,40,1.16,110
48,"CD111, Manhattan",36.23,22,0.64,111
71,"CD112, Manhattan",31.66,108,3.15,112
18,"CD164, Manhattan",,,,164
41,"CD201, Bronx",34.55,11,0.32,201
44,"CD202, Bronx",51.92,12,0.35,202
53,"CD203, Bronx",38.12,26,0.76,203
32,"CD204, Bronx",38.55,31,0.90,204
62,"CD205, Bronx",37.76,29,0.84,205
63,"CD206, Bronx",30.33,30,0.87,206
36,"CD207, Bronx",30.88,24,0.70,207
24,"CD208, Bronx",31.1,20,0.58,208
45,"CD209, Bronx",33.46,37,1.08,209
59,"CD210, Bronx",14,36,1.05,210
50,"CD211, Bronx",37.15,34,0.99,211
58,"CD212, Bronx",34.47,45,1.31,212
33,"CD226, Bronx",,,,226
51,"CD227, Bronx",118,1,0.03,227
52,"CD228, Bronx",,,,228
2,"CD301, Brooklyn",12.52,211,6.14,301
6,"CD302, Brooklyn",12.49,137,3.99,302
14,"CD303, Brooklyn",22.86,95,2.77,303
22,"CD304, Brooklyn",25.77,57,1.66,304
64,"CD305, Brooklyn",24.28,128,3.73,305
54,"CD306, Brooklyn",11.35,52,1.51,306
9,"CD307, Brooklyn",15.32,41,1.19,307
55,"CD308, Brooklyn",19.22,83,2.42,308
16,"CD309, Brooklyn",20.6,43,1.25,309
10,"CD310, Brooklyn",8.91,32,0.93,310
1,"CD311, Brooklyn",9.65,34,0.99,311
11,"CD312, Brooklyn",12.17,102,2.97,312
7,"CD313, Brooklyn",30.58,24,0.70,313
5,"CD314, Brooklyn",18.33,39,1.14,314
8,"CD315, Brooklyn",15.67,49,1.43,315
15,"CD316, Brooklyn",26.71,95,2.77,316
17,"CD317, Brooklyn",28.9,98,2.85,317
39,"CD318, Brooklyn",17.39,82,2.39,318
56,"CD355, Brooklyn",68.33,6,0.17,355
40,"CD356, Brooklyn",,,,356
43,"CD401, Queens",33.3,57,1.66,401
26,"CD402, Queens",21.81,32,0.93,402
68,"CD403, Queens",16.75,24,0.70,403
27,"CD404, Queens",13.3,37,1.08,404
28,"CD405, Queens",25.66,47,1.37,405
37,"CD406, Queens",55.25,8,0.23,406
49,"CD407, Queens",12.21,87,2.53,407
46,"CD408, Queens",14.56,77,2.24,408
65,"CD409, Queens",24.96,45,1.31,409
61,"CD410, Queens",14.23,83,2.42,410
47,"CD411, Queens",11.61,31,0.90,411
3,"CD412, Queens",21.75,222,6.46,412
66,"CD413, Queens",25.95,103,3.00,413
57,"CD414, Queens",28.94,80,2.33,414
69,"CD480, Queens",,,,480
4,"CD481, Queens",,,,481
38,"CD482, Queens",8,1,0.03,482
67,"CD483, Queens",,,,483
23,"CD484, Queens",,,,484
25,"CD501, Staten Island",38.56,82,2.39,501
34,"CD502, Staten Island",26.18,51,1.49,502
35,"CD503, Staten Island",48.15,150,4.37,503
12,"CD595, Staten Island",,,,595
